Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = autoV2
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.498710846 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 1730.0
Update 200 | last delta: 1530.0
Update 300 | last delta: 2282.0
Update 400 | last delta: 1450.0
Update 500 | last delta: 2048.0
Update 600 | last delta: 2162.0
Update 700 | last delta: 2150.0
Update 800 | last delta: 2095.2
Update 900 | last delta: 2219.6000000000004
Update 1000 | last delta: 2150.0
Update 1100 | last delta: 1432.9440000000004
Update 1200 | last delta: 1190.0
Update 1300 | last delta: 1160.0
Update 1400 | last delta: 2114.0
Update 1500 | last delta: 1096.0
Update 1600 | last delta: 1048.0
Update 1700 | last delta: 2203.728
Update 1800 | last delta: 2981.2768268451846
Update 1900 | last delta: 3831.876346519811
Update 2000 | last delta: 3773.4316954755445
Update 2100 | last delta: 3865.182097973427
Update 2200 | last delta: 3455.396285104349
Update 2300 | last delta: 3077.5809834115444
Update 2400 | last delta: 2120.80192
Update 2500 | last delta: 1719.3459200000002
Update 2600 | last delta: 1334.6767360000003
Update 2700 | last delta: 2072.615991481336
Update 2800 | last delta: 793.129554283787
Update 2900 | last delta: 851.1999999999998
Update 3000 | last delta: 915.2000000000003
Update 3100 | last delta: 1570.1600000000003
Update 3200 | last delta: 557.6000000000004
Update 3300 | last delta: 762.1986002103781
Update 3400 | last delta: 864.0
Update 3500 | last delta: 1066.8337771979798
Update 3600 | last delta: 829.5203983787417
Update 3700 | last delta: 143.75904814648675
Update 3800 | last delta: 787.1999999999998
Update 3900 | last delta: 761.6000000000004
Update 4000 | last delta: 748.8000000000002
Update 4100 | last delta: 736.0
Update 4200 | last delta: 640.0
Update 4300 | last delta: 711.6800000000003
Update 4400 | last delta: 702.4587485774655
Update 4500 | last delta: 702.4587485774655
Update 4600 | last delta: 680.96
Update 4700 | last delta: 670.7200000000003
Update 4800 | last delta: 660.4800000000005
Update 4900 | last delta: 650.2399999999998
Update 5000 | last delta: 640.0
Update 5100 | last delta: 620.0
Update 5200 | last delta: 759.344
Update 5300 | last delta: 595.7760000000003
Update 5400 | last delta: 588.7999999999997
Update 5500 | last delta: 352.9440000000004
Update 5600 | last delta: 570.0
Update 5700 | last delta: 561.152000000001
Update 5800 | last delta: 552.9599999999996
Update 5900 | last delta: 544.768
Update 6000 | last delta: 536.576
Update 6100 | last delta: 528.384
Update 6200 | last delta: 638.6464000000001
Update 6300 | last delta: 503.808
Update 6400 | last delta: 495.61600000000044
Update 6500 | last delta: 479.23199999999997
Update 6600 | last delta: 716.0351999999998
Update 6700 | last delta: 462.02880000000096
Update 6800 | last delta: 455.47519999999986
Update 6900 | last delta: 448.9216000000015
Update 7000 | last delta: 442.36799999999994
Update 7100 | last delta: 464.99519999999984
Update 7200 | last delta: 30.65058291946889
Update 7300 | last delta: 422.70720000000074
Update 7400 | last delta: 416.15359999999964
Update 7500 | last delta: 409.60000000000036
Update 7600 | last delta: 221.49318213164725
Update 7700 | last delta: 389.9392000000007
Update 7800 | last delta: 140.76557594411088
Update 7900 | last delta: 131.50271999999975
Update 8000 | last delta: 364.3801599999997
Update 8100 | last delta: 359.1372800000008
Update 8200 | last delta: 353.8943999999992
Update 8300 | last delta: 348.65152000000035
Update 8400 | last delta: 343.40864000000056
Update 8500 | last delta: 338.1657600000008
Update 8600 | last delta: 332.92287999999917
Update 8700 | last delta: 327.67999999999984
Update 8800 | last delta: 319.3260800000003
Update 8900 | last delta: 311.95136000000093
Update 9000 | last delta: 571.1661006041857
Update 9100 | last delta: 296.2227200000002
Update 9200 | last delta: 291.5041280000005
Update 9300 | last delta: 287.30982400000084
Update 9400 | last delta: 283.1155199999994
Update 9500 | last delta: 278.92121600000064
Update 9600 | last delta: 275.25120000000015
Update 9700 | last delta: 270.53260800000135
Update 9800 | last delta: 266.3383039999999
Update 9900 | last delta: 262.14400000000023
Update 10000 | last delta: 257.9496960000006
Execution time (Prioritized VI): 254.916639428 seconds
Total updates performed: 10000
Nb states discovered (env): 2830
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
