Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lake
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 45

End of exploration 44 | Exploration time: 0.019111161 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 1000.0
Iteration: 3 | delta: 1000.0
Iteration: 4 | delta: 810.0
Iteration: 5 | delta: 2195.1
Iteration: 6 | delta: 1440.2051099999999
Iteration: 7 | delta: 1822.940009
Iteration: 8 | delta: 1778.031
Iteration: 9 | delta: 2344.4865990000003
Iteration: 10 | delta: 1899.03414519
Iteration: 11 | delta: 2110.0379391
Iteration: 12 | delta: 656.0999999999999
Iteration: 13 | delta: 761.2047333810001
Iteration: 14 | delta: 590.4900000000002
Iteration: 15 | delta: 1674.647572671
Iteration: 16 | delta: 1586.5256445039004
Iteration: 17 | delta: 1562.355665958159
Iteration: 18 | delta: 1815.2935690535114
Iteration: 19 | delta: 1040.9194753590086
Iteration: 20 | delta: 2135.9326833270093
Iteration: 21 | delta: 1572.8919163590094
Iteration: 22 | delta: 868.2492866682287
Iteration: 23 | delta: 1412.8031320238224
Iteration: 24 | delta: 1329.6725558244807
Iteration: 25 | delta: 1329.6725558244807
Iteration: 26 | delta: 1196.7053002420334
Iteration: 27 | delta: 1196.7053002420334
Iteration: 28 | delta: 1196.7053002420334
Iteration: 29 | delta: 1077.03477021783
Iteration: 30 | delta: 706.6425127399175
Iteration: 31 | delta: 268.2572738201734
Iteration: 32 | delta: 820.5388695010056
Iteration: 33 | delta: 241.43154643815615
Iteration: 34 | delta: 135.08517176729947
Iteration: 35 | delta: 117.28760402641456
Iteration: 36 | delta: 98.4770902183609
Iteration: 37 | delta: 85.50266333525542
Iteration: 38 | delta: 142.5629138562672
Iteration: 39 | delta: 41.17347971283107
Iteration: 40 | delta: 47.10128697246182
Iteration: 41 | delta: 38.15204244769484
Iteration: 42 | delta: 55.2317937994585
Iteration: 43 | delta: 39.71320400852801
Iteration: 44 | delta: 33.12548364014583
Iteration: 45 | delta: 56.84710845917016
Iteration: 46 | delta: 29.812935276130702
Iteration: 47 | delta: 21.105224851495223
Iteration: 48 | delta: 19.560266834670074
Iteration: 49 | delta: 17.095232129710894
Iteration: 50 | delta: 17.604240151203157
Iteration: 51 | delta: 13.84713802506667
Iteration: 52 | delta: 15.599089921795894
Iteration: 53 | delta: 13.84713802506667
Iteration: 54 | delta: 10.416731602193067
Iteration: 55 | delta: 9.375058441974033
Iteration: 56 | delta: 8.176596532421172
Iteration: 57 | delta: 7.593797337998694
Iteration: 58 | delta: 4.174557917929633
Iteration: 59 | delta: 3.757102126135578
Iteration: 60 | delta: 12.860162471843068
Iteration: 61 | delta: 2.7389274499528256
Iteration: 62 | delta: 3.381391913522748
Iteration: 63 | delta: 2.39422701679905
Iteration: 64 | delta: 2.851002924252498
Iteration: 65 | delta: 2.565902631827157
Iteration: 66 | delta: 3.043252722171019
Iteration: 67 | delta: 1.9393238836100863
Iteration: 68 | delta: 2.465034704957361
Iteration: 69 | delta: 1.2723904000367838
Iteration: 70 | delta: 1.7970102999152004
Iteration: 71 | delta: 1.617309269922771
Iteration: 72 | delta: 1.0611166119961126
Iteration: 73 | delta: 2.1072057415021845
Iteration: 74 | delta: 0.9275726016285262
Iteration: 75 | delta: 1.8964851673517842
Iteration: 76 | delta: 1.4870333633307382
Iteration: 77 | delta: 1.3825376869999673
Iteration: 78 | delta: 1.0840473218668194
Iteration: 79 | delta: 1.2143105870254658
Iteration: 80 | delta: 0.5639208733955456
Iteration: 81 | delta: 0.4567759074507194
Iteration: 82 | delta: 1.2723904000376933
Iteration: 83 | delta: 0.41109831670655694
Iteration: 84 | delta: 0.2996906728785689
Iteration: 85 | delta: 0.2697216055912577
Iteration: 86 | delta: 0.24274944503122242
Iteration: 87 | delta: 0.24274944503122242
Iteration: 88 | delta: 0.41510155100513657
Iteration: 89 | delta: 0.1966270504763088
Iteration: 90 | delta: 0.1966270504763088
Iteration: 91 | delta: 0.16578507024041755
Iteration: 92 | delta: 0.17696434542813222
Iteration: 93 | delta: 0.13922367135182867
Iteration: 94 | delta: 0.17696434542813222
Iteration: 95 | delta: 0.159267910885319
Iteration: 96 | delta: 0.43161603849875974
Iteration: 97 | delta: 0.12900700781756314
Iteration: 98 | delta: 0.22060198336657777
Iteration: 99 | delta: 0.08810498351249407
Iteration: 100 | delta: 0.08810498351249407
Reached maximum number of iterations.
Execution time (Incremental VI): 0.075832247 seconds
Nb states discovered (env): 44
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
