Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lake
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 43 | Exploration time: 0.045571129 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 1000.0
Iteration: 3 | delta: 1000.0
Iteration: 4 | delta: 1384.2900000000002
Iteration: 5 | delta: 1246.5900000000001
Iteration: 6 | delta: 1974.7800000000004
Iteration: 7 | delta: 1438.9585200000004
Iteration: 8 | delta: 1437.4195200000004
Iteration: 9 | delta: 1598.8428000000004
Iteration: 10 | delta: 1825.650009
Iteration: 11 | delta: 2931.5951099999997
Iteration: 12 | delta: 1365.4940391000005
Iteration: 13 | delta: 1365.4940391000005
Iteration: 14 | delta: 1228.9446351900006
Iteration: 15 | delta: 995.4451545039008
Iteration: 16 | delta: 850.4267154038998
Iteration: 17 | delta: 1308.4790463270078
Iteration: 18 | delta: 619.9610755294425
Iteration: 19 | delta: 557.9649679764984
Iteration: 20 | delta: 434.6590566442592
Iteration: 21 | delta: 1245.4690566442605
Iteration: 22 | delta: 1120.9221509798344
Iteration: 23 | delta: 1120.9221509798344
Iteration: 24 | delta: 562.9571830033346
Iteration: 25 | delta: 1008.8299358818508
Iteration: 26 | delta: 637.2536429461479
Iteration: 27 | delta: 817.1522480642993
Iteration: 28 | delta: 1235.254363201268
Iteration: 29 | delta: 828.4979015463996
Iteration: 30 | delta: 135.08517176729947
Iteration: 31 | delta: 135.08517176729947
Iteration: 32 | delta: 109.41898913151272
Iteration: 33 | delta: 418.10211513696777
Iteration: 34 | delta: 109.41898913151272
Iteration: 35 | delta: 329.4727339404417
Iteration: 36 | delta: 296.5254605463979
Iteration: 37 | delta: 266.8729144917579
Iteration: 38 | delta: 373.752848016562
Iteration: 39 | delta: 274.316797741365
Iteration: 40 | delta: 302.73980689341533
Iteration: 41 | delta: 408.8664438655287
Iteration: 42 | delta: 408.8664438655287
Iteration: 43 | delta: 367.979799478976
Iteration: 44 | delta: 173.5960322528408
Iteration: 45 | delta: 340.86759671335585
Iteration: 46 | delta: 535.417951377849
Iteration: 47 | delta: 160.88834571524603
Iteration: 48 | delta: 69.72764943154198
Iteration: 49 | delta: 77.47516603504664
Iteration: 50 | delta: 92.256048976481
Iteration: 51 | delta: 201.27890718327035
Iteration: 52 | delta: 74.72739967094913
Iteration: 53 | delta: 67.25465970385358
Iteration: 54 | delta: 62.33144157140032
Iteration: 55 | delta: 54.47627436012226
Iteration: 56 | delta: 44.125782231698395
Iteration: 57 | delta: 56.09829741425983
Iteration: 58 | delta: 45.53405650158311
Iteration: 59 | delta: 56.09829741425983
Iteration: 60 | delta: 49.70861441951183
Iteration: 61 | delta: 44.737752977560376
Iteration: 62 | delta: 15.951449644175227
Iteration: 63 | delta: 12.92067421178217
Iteration: 64 | delta: 21.77879806913188
Iteration: 65 | delta: 17.640826435996132
Iteration: 66 | delta: 21.39792856213262
Iteration: 67 | delta: 11.216181800303275
Iteration: 68 | delta: 9.355614990196045
Iteration: 69 | delta: 10.09456362027413
Iteration: 70 | delta: 6.6230431912626955
Iteration: 71 | delta: 8.176596532422082
Iteration: 72 | delta: 4.505160529203749
Iteration: 73 | delta: 4.054644476284011
Iteration: 74 | delta: 6.150975843775996
Iteration: 75 | delta: 4.982290433458729
Iteration: 76 | delta: 4.474761647403284
Iteration: 77 | delta: 1.7970102999152004
Iteration: 78 | delta: 6.17991842140691
Iteration: 79 | delta: 1.1140764382735142
Iteration: 80 | delta: 2.078381131781498
Iteration: 81 | delta: 6.150975843776905
Iteration: 82 | delta: 0.7029781215669573
Iteration: 83 | delta: 2.3780718046591574
Iteration: 84 | delta: 0.5639208733955456
Iteration: 85 | delta: 0.5694122784689171
Iteration: 86 | delta: 2.1402646241931507
Iteration: 87 | delta: 0.36998848503571935
Iteration: 88 | delta: 1.0026687944464356
Iteration: 89 | delta: 0.5124710506233896
Iteration: 90 | delta: 1.3636258605620242
Iteration: 91 | delta: 1.2664313799641604
Iteration: 92 | delta: 1.2664313799641604
Iteration: 93 | delta: 1.835843658433987
Iteration: 94 | delta: 1.1198555264682
Iteration: 95 | delta: 0.9232284759928007
Iteration: 96 | delta: 0.6044739457565811
Iteration: 97 | delta: 0.5440265511806501
Iteration: 98 | delta: 0.6057302030976643
Iteration: 99 | delta: 0.5451571827879889
Iteration: 100 | delta: 0.5451571827879889
Reached maximum number of iterations.
Execution time (Incremental VI): 0.059886514 seconds
Nb states discovered (env): 43
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
