Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.436201146 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 1730.0
Update 200 | last delta: 1530.0
Update 300 | last delta: 1490.0
Update 400 | last delta: 2060.0
Update 500 | last delta: 1954.4
Update 600 | last delta: 2060.0
Update 700 | last delta: 2114.0
Update 800 | last delta: 1862.56
Update 900 | last delta: 2040.0
Update 1000 | last delta: 2398.0
Update 1100 | last delta: 1528.9120000000003
Update 1200 | last delta: 1970.0
Update 1300 | last delta: 1160.0
Update 1400 | last delta: 1807.2
Update 1500 | last delta: 1096.0
Update 1600 | last delta: 1048.0
Update 1700 | last delta: 2020.0
Update 1800 | last delta: 1915.6800000000003
Update 1900 | last delta: 3477.0197498349207
Update 2000 | last delta: 3443.4521493359707
Update 2100 | last delta: 4271.789570292651
Update 2200 | last delta: 3745.588639518095
Update 2300 | last delta: 3228.0151866699634
Update 2400 | last delta: 2413.327461464771
Update 2500 | last delta: 2471.524709376001
Update 2600 | last delta: 1412.4642592734704
Update 2700 | last delta: 1523.1131541504005
Update 2800 | last delta: 2053.732703908004
Update 2900 | last delta: 963.0400000000002
Update 3000 | last delta: 940.8000000000002
Update 3100 | last delta: 928.0
Update 3200 | last delta: 915.2000000000003
Update 3300 | last delta: 892.1413834332649
Update 3400 | last delta: 876.8000000000002
Update 3500 | last delta: 1340.0
Update 3600 | last delta: 54.896280127501086
Update 3700 | last delta: 366.49037247736123
Update 3800 | last delta: 796.0938240000002
Update 3900 | last delta: 771.7280000000001
Update 4000 | last delta: 752.6399999999999
Update 4100 | last delta: 742.4000000000001
Update 4200 | last delta: 732.1599999999999
Update 4300 | last delta: 721.9200000000001
Update 4400 | last delta: 710.0
Update 4500 | last delta: 213.88302122148662
Update 4600 | last delta: 687.9200000000001
Update 4700 | last delta: 672.0
Update 4800 | last delta: 660.4800000000005
Update 4900 | last delta: 650.2399999999998
Update 5000 | last delta: 640.0
Update 5100 | last delta: 1096.0
Update 5200 | last delta: 609.2800000000002
Update 5300 | last delta: 599.04
Update 5400 | last delta: 435.84000000000015
Update 5500 | last delta: 583.1311313054534
Update 5600 | last delta: 577.5360000000001
Update 5700 | last delta: 568.3200000000002
Update 5800 | last delta: 559.5840000000003
Update 5900 | last delta: 547.8399999999997
Update 6000 | last delta: 536.5760000000002
Update 6100 | last delta: 10.489599999999882
Update 6200 | last delta: 504.6400000000001
Update 6300 | last delta: 93.6035485278212
Update 6400 | last delta: 495.61600000000044
Update 6500 | last delta: 620.8384000000001
Update 6600 | last delta: 62.88422215867331
Update 6700 | last delta: 462.8480000000004
Update 6800 | last delta: 455.4752000000003
Update 6900 | last delta: 448.9216000000015
Update 7000 | last delta: 442.3679999999995
Update 7100 | last delta: 435.8144000000002
Update 7200 | last delta: 429.2608
Update 7300 | last delta: 422.70720000000074
Update 7400 | last delta: 416.0
Update 7500 | last delta: 403.47290780469393
Update 7600 | last delta: 396.4928
Update 7700 | last delta: 389.14339878298495
Update 7800 | last delta: 376.83200000000033
Update 7900 | last delta: 369.6230400000004
Update 8000 | last delta: 364.3801599999997
Update 8100 | last delta: 359.1372800000008
Update 8200 | last delta: 353.8943999999992
Update 8300 | last delta: 348.65151999999944
Update 8400 | last delta: 343.03999999999996
Update 8500 | last delta: 333.32587667306143
Update 8600 | last delta: 327.6800000000003
Update 8700 | last delta: 322.4371200000005
Update 8800 | last delta: 320.7269120000001
Update 8900 | last delta: 307.1999999999998
Update 9000 | last delta: 301.4656
Update 9100 | last delta: 595.4581760000005
Update 9200 | last delta: 187.0034943999999
Update 9300 | last delta: 284.94848
Update 9400 | last delta: 280.4940799999986
Update 9500 | last delta: 275.2512000000006
Update 9600 | last delta: 260.58944000000065
Update 9700 | last delta: 266.3383039999999
Update 9800 | last delta: 262.14400000000023
Update 9900 | last delta: 257.9496960000006
Update 10000 | last delta: 253.75539199999912
Execution time (Prioritized VI): 5.876674102 seconds
Total updates performed: 10000
Nb states discovered (env): 2830
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
