Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Interlocking
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 100226 | Exploration time: 135.612201561 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 5000.0
Update 200 | last delta: 5000.0
Update 300 | last delta: 5000.0
Update 400 | last delta: 5000.0
Update 500 | last delta: 5000.0
Update 600 | last delta: 5000.0
Update 700 | last delta: 4499.0
Update 800 | last delta: 4048.1
Update 900 | last delta: 4048.1
Update 1000 | last delta: 3642.29
Update 1100 | last delta: 3642.29
Update 1200 | last delta: 3642.29
Update 1300 | last delta: 3277.061
Update 1400 | last delta: 3277.061
Update 1500 | last delta: 3277.061
Update 1600 | last delta: 3277.061
Update 1700 | last delta: 2948.3549000000003
Update 1800 | last delta: 2948.3549000000003
Update 1900 | last delta: 2948.3549000000003
Update 2000 | last delta: 2948.3549000000003
Update 2100 | last delta: 2948.3549000000003
Update 2200 | last delta: 2948.3549000000003
Update 2300 | last delta: 2652.5194100000003
Update 2400 | last delta: 2652.5194100000003
Update 2500 | last delta: 2652.5194100000003
Update 2600 | last delta: 2652.5194100000003
Update 2700 | last delta: 2652.5194100000003
Update 2800 | last delta: 2652.5194100000003
Update 2900 | last delta: 2652.5194100000003
Update 3000 | last delta: 2652.5194100000003
Update 3100 | last delta: 2652.5194100000003
Update 3200 | last delta: 2652.5194100000003
Update 3300 | last delta: 2652.5194100000003
Update 3400 | last delta: 2386.2674690000003
Update 3500 | last delta: 2386.2674690000003
Update 3600 | last delta: 2386.2674690000003
Update 3700 | last delta: 2386.2674690000003
Update 3800 | last delta: 2386.2674690000003
Update 3900 | last delta: 2386.2674690000003
Update 4000 | last delta: 2386.2674690000003
Update 4100 | last delta: 2386.2674690000003
Update 4200 | last delta: 2386.2674690000003
Update 4300 | last delta: 2386.2674690000003
Update 4400 | last delta: 2386.2674690000003
Update 4500 | last delta: 2386.2674690000003
Update 4600 | last delta: 2146.6407221000004
Update 4700 | last delta: 2146.6407221000004
Update 4800 | last delta: 2146.6407221000004
Update 4900 | last delta: 2146.6407221000004
Update 5000 | last delta: 2146.6407221000004
Update 5100 | last delta: 2146.6407221000004
Update 5200 | last delta: 2146.6407221000004
Update 5300 | last delta: 2146.6407221000004
Update 5400 | last delta: 2146.6407221000004
Update 5500 | last delta: 2146.6407221000004
Update 5600 | last delta: 2146.6407221000004
Update 5700 | last delta: 2146.6407221000004
Update 5800 | last delta: 2146.6407221000004
Update 5900 | last delta: 2146.6407221000004
Update 6000 | last delta: 2146.6407221000004
Update 6100 | last delta: 2146.6407221000004
Update 6200 | last delta: 1930.9766498900003
Update 6300 | last delta: 1930.9766498900003
Update 6400 | last delta: 1930.9766498900003
Update 6500 | last delta: 1930.9766498900003
Update 6600 | last delta: 1930.9766498900003
Update 6700 | last delta: 1930.9766498900003
Update 6800 | last delta: 1930.9766498900003
Update 6900 | last delta: 1930.9766498900003
Update 7000 | last delta: 1930.9766498900003
Update 7100 | last delta: 1930.9766498900003
Update 7200 | last delta: 1930.9766498900003
Update 7300 | last delta: 1930.9766498900003
Update 7400 | last delta: 1930.9766498900003
Update 7500 | last delta: 1930.9766498900003
Update 7600 | last delta: 1930.9766498900003
Update 7700 | last delta: 1930.9766498900003
Update 7800 | last delta: 1930.9766498900003
Update 7900 | last delta: 1930.9766498900003
Update 8000 | last delta: 1736.8789849010004
Update 8100 | last delta: 1736.8789849010004
Update 8200 | last delta: 1736.8789849010004
Update 8300 | last delta: 1736.8789849010004
Update 8400 | last delta: 1736.8789849010004
Update 8500 | last delta: 1736.8789849010004
Update 8600 | last delta: 1736.8789849010004
Update 8700 | last delta: 1736.8789849010004
Update 8800 | last delta: 1736.8789849010004
Update 8900 | last delta: 1736.8789849010004
Update 9000 | last delta: 1736.8789849010004
Update 9100 | last delta: 1736.8789849010004
Update 9200 | last delta: 1736.8789849010004
Update 9300 | last delta: 1736.8789849010004
Update 9400 | last delta: 1736.8789849010004
Update 9500 | last delta: 1736.8789849010004
Update 9600 | last delta: 1736.8789849010004
Update 9700 | last delta: 1736.8789849010004
Update 9800 | last delta: 1736.8789849010004
Update 9900 | last delta: 1736.8789849010004
Update 10000 | last delta: 1736.8789849010004
Update 10100 | last delta: 1736.8789849010004
Update 10200 | last delta: 1562.1910864109004
Update 10300 | last delta: 1562.1910864109004
Update 10400 | last delta: 1562.1910864109004
Update 10500 | last delta: 1562.1910864109004
Update 10600 | last delta: 1562.1910864109004
Update 10700 | last delta: 1562.1910864109004
Update 10800 | last delta: 1562.1910864109004
Update 10900 | last delta: 1562.1910864109004
Update 11000 | last delta: 1562.1910864109004
