run,algorithm,reward,exploration,environment,states,t_explore_sec,t_learn_sec,iterations_or_updates,status,exit_code,log_file
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,PREPROCESS,autoV2,2830,0.428436916,4.660915195,597,SUCCESS,0,experiments/20260709_100634/logs/autoV2/INCREMENTAL_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,RECURSIVE,autoV2,2830,1.335260531,5.289933798,579,SUCCESS,0,experiments/20260709_100634/logs/autoV2/INCREMENTAL_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.428991363,755.531423105,590,SUCCESS,0,experiments/20260709_100634/logs/autoV2/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.360596908,990.114592005,707,SUCCESS,0,experiments/20260709_100634/logs/autoV2/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,PREPROCESS,autoV2,2830,0.430171038,5.524088016,13,SUCCESS,0,experiments/20260709_100634/logs/autoV2/MODIFIED_POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,RECURSIVE,autoV2,2830,1.389207664,5.295758872,12,SUCCESS,0,experiments/20260709_100634/logs/autoV2/MODIFIED_POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.443031693,372.730408251,13,SUCCESS,0,experiments/20260709_100634/logs/autoV2/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.719273047,320.705060959,12,SUCCESS,0,experiments/20260709_100634/logs/autoV2/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,POLICY_ITERATION,EMBEDDED,PREPROCESS,autoV2,2830,0.432881783,4.775882238,8,SUCCESS,0,experiments/20260709_100634/logs/autoV2/POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,POLICY_ITERATION,EMBEDDED,RECURSIVE,autoV2,2830,1.544231198,4.713999812,8,SUCCESS,0,experiments/20260709_100634/logs/autoV2/POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.436001619,,1,TIMEOUT,124,experiments/20260709_100634/logs/autoV2/POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.275691485,,1,TIMEOUT,124,experiments/20260709_100634/logs/autoV2/POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,PREPROCESS,autoV2,2830,0.435494366,5.180969173,10000,SUCCESS,0,experiments/20260709_100634/logs/autoV2/PRIORITIZED_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,RECURSIVE,autoV2,2830,1.244196601,4.028510279,10000,SUCCESS,0,experiments/20260709_100634/logs/autoV2/PRIORITIZED_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.427287335,244.980280017,10000,SUCCESS,0,experiments/20260709_100634/logs/autoV2/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.695966529,281.368565269,10000,SUCCESS,0,experiments/20260709_100634/logs/autoV2/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,VALUE_ITERATION,EMBEDDED,PREPROCESS,autoV2,2830,0.428603215,450.617034177,88,SUCCESS,0,experiments/20260709_100634/logs/autoV2/VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,VALUE_ITERATION,EMBEDDED,RECURSIVE,autoV2,2830,2.081601523,437.054527407,87,SUCCESS,0,experiments/20260709_100634/logs/autoV2/VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.427564527,683.762359215,84,SUCCESS,0,experiments/20260709_100634/logs/autoV2/VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.405098408,729.985502305,87,SUCCESS,0,experiments/20260709_100634/logs/autoV2/VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,PREPROCESS,Frozen_lake,44,0.019009232,0.09405795,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/INCREMENTAL_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,RECURSIVE,Frozen_lake,43,0.047042997,0.059093797,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/INCREMENTAL_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Frozen_lake,44,0.021452215,10.384774394,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Frozen_lake,43,0.03495462,7.72589914,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,PREPROCESS,Frozen_lake,44,0.020874505,0.063871146,7,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/MODIFIED_POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,RECURSIVE,Frozen_lake,43,0.035783306,0.04584003,8,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/MODIFIED_POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Frozen_lake,44,0.027829514,1.471416886,8,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Frozen_lake,43,0.035327239,1.418669007,7,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,POLICY_ITERATION,EMBEDDED,PREPROCESS,Frozen_lake,44,0.019747103,0.061095427,8,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,POLICY_ITERATION,EMBEDDED,RECURSIVE,Frozen_lake,43,0.044450554,0.049709618,8,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Frozen_lake,44,0.019465369,3.99066337,8,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Frozen_lake,43,0.039393094,4.978867461,7,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,PREPROCESS,Frozen_lake,44,0.021759945,0.107687165,2918,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/PRIORITIZED_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,RECURSIVE,Frozen_lake,43,0.036840722,0.076306293,2910,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/PRIORITIZED_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Frozen_lake,44,0.020198485,47.553923047,3087,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Frozen_lake,43,0.035326049,42.154858798,3087,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,VALUE_ITERATION,EMBEDDED,PREPROCESS,Frozen_lake,44,0.021780923,0.090606349,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,VALUE_ITERATION,EMBEDDED,RECURSIVE,Frozen_lake,43,0.041458903,0.075334826,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Frozen_lake,44,0.018295416,10.862668894,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Frozen_lake,43,0.043696313,10.380719857,100,SUCCESS,0,experiments/20260709_100634/logs/Frozen_lake/VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,PREPROCESS,Interlocking,100227,86.42481028,58.688856852,1,SUCCESS,0,experiments/20260709_100634/logs/Interlocking/INCREMENTAL_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,RECURSIVE,Interlocking,100226,138.170390246,53.125736893,1,SUCCESS,0,experiments/20260709_100634/logs/Interlocking/INCREMENTAL_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Interlocking,100227,81.285799732,117.864189969,100,SUCCESS,0,experiments/20260709_100634/logs/Interlocking/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Interlocking,100226,139.359571365,130.788825949,100,SUCCESS,0,experiments/20260709_100634/logs/Interlocking/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,PREPROCESS,Interlocking,100227,81.353797498,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/MODIFIED_POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,RECURSIVE,Interlocking,100226,139.344548016,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/MODIFIED_POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Interlocking,100227,81.512606212,,1,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Interlocking,100226,146.882481284,,2,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,POLICY_ITERATION,EMBEDDED,PREPROCESS,Interlocking,100227,81.256010194,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,POLICY_ITERATION,EMBEDDED,RECURSIVE,Interlocking,100226,150.599438559,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Interlocking,100227,82.124378623,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Interlocking,100226,138.733200994,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,PREPROCESS,Interlocking,100227,81.166076641,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/PRIORITIZED_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,RECURSIVE,Interlocking,100226,131.75786441,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/PRIORITIZED_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Interlocking,100227,81.757178079,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Interlocking,100226,135.612201561,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,VALUE_ITERATION,EMBEDDED,PREPROCESS,Interlocking,100227,81.116031831,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,VALUE_ITERATION,EMBEDDED,RECURSIVE,Interlocking,100226,138.908490997,,,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Interlocking,100227,81.351672187,,5,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Interlocking,100226,140.462016777,,4,TIMEOUT,124,experiments/20260709_100634/logs/Interlocking/VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,PREPROCESS,Mountain_Car,12048,3.893556797,43.694958541,100,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/INCREMENTAL_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/INCREMENTAL_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Mountain_Car,12048,3.881379649,97.560295214,100,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,PREPROCESS,Mountain_Car,12048,3.866320021,31.114575726,25,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/MODIFIED_POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/MODIFIED_POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Mountain_Car,12048,3.923739732,,21,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,POLICY_ITERATION,EMBEDDED,PREPROCESS,Mountain_Car,12048,3.874128746,27.990485529,24,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,POLICY_ITERATION,EMBEDDED,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Mountain_Car,12048,3.868301533,,10,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,PREPROCESS,Mountain_Car,12048,3.844869873,39.378543608,100000,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/PRIORITIZED_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/PRIORITIZED_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Mountain_Car,12048,3.879705045,181.298862728,11863,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,VALUE_ITERATION,EMBEDDED,PREPROCESS,Mountain_Car,12048,3.86747407,30.636940765,1,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,VALUE_ITERATION,EMBEDDED,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Mountain_Car,12048,3.890801235,648.318153405,26,SUCCESS,0,experiments/20260709_100634/logs/Mountain_Car/VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Mountain_Car,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Mountain_Car/VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,VALUE_ITERATION,EMBEDDED,PREPROCESS,Puzzle,181441,149.897777798,,,TIMEOUT,124,experiments/20260709_100634/logs/Puzzle/VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,VALUE_ITERATION,EMBEDDED,RECURSIVE,Puzzle,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Puzzle/VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Puzzle,181441,149.497075391,,1,TIMEOUT,124,experiments/20260709_100634/logs/Puzzle/VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Puzzle,,,,,TIMEOUT,124,experiments/20260709_100634/logs/Puzzle/VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Taxi-driver,44,0.020012724,0.956467081,15,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Taxi-driver,43,0.037276849,1.142791008,16,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Taxi-driver,44,0.020788254,2.467927194,12,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Taxi-driver,43,0.038635083,1.245648958,10,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,Taxi-driver,44,0.021629687,3.000269749,11,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,Taxi-driver,43,0.040906837,1.493155554,10,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Taxi-driver,44,0.022770666,0.513281735,43,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Taxi-driver,43,0.044716147,0.432361906,42,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,Taxi-driver,44,0.020541476,0.927875199,14,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,Taxi-driver,43,0.041578904,0.708193515,11,SUCCESS,0,experiments/20260709_100634/logs/Taxi-driver/VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,BACKWARD_INDUCTION,EMBEDDED,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/BACKWARD_INDUCTION/EMBEDDED/PREPROCESS/run_1.log
1,BACKWARD_INDUCTION,EMBEDDED,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/BACKWARD_INDUCTION/EMBEDDED/RECURSIVE/run_1.log
1,BACKWARD_INDUCTION,ONCEANDFORALL,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/BACKWARD_INDUCTION/ONCEANDFORALL/PREPROCESS/run_1.log
1,BACKWARD_INDUCTION,ONCEANDFORALL,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/BACKWARD_INDUCTION/ONCEANDFORALL/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/INCREMENTAL_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/INCREMENTAL_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/MODIFIED_POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/MODIFIED_POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,POLICY_ITERATION,EMBEDDED,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,POLICY_ITERATION,EMBEDDED,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,PREPROCESS,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/PRIORITIZED_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,RECURSIVE,tictactoe,,,,,FAILED,1,experiments/20260709_100634/logs/tictactoe/PRIORITIZED_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
