Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lake
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 43 | Exploration time: 0.047042997 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 2438.0
Iteration: 3 | delta: 2194.2000000000003
Iteration: 4 | delta: 1973.8800000000003
Iteration: 5 | delta: 1973.8800000000003
Iteration: 6 | delta: 1955.3566041900006
Iteration: 7 | delta: 1955.3566041900006
Iteration: 8 | delta: 817.8876989999999
Iteration: 9 | delta: 1049.9095251899998
Iteration: 10 | delta: 1480.3767351899996
Iteration: 11 | delta: 1166.5661390999999
Iteration: 12 | delta: 1199.1051555039012
Iteration: 13 | delta: 944.9185726709998
Iteration: 14 | delta: 850.4267154038998
Iteration: 15 | delta: 765.3840438635098
Iteration: 16 | delta: 930.7268209609647
Iteration: 17 | delta: 280.0551006367182
Iteration: 18 | delta: 345.7470378231087
Iteration: 19 | delta: 311.172334040798
Iteration: 20 | delta: 1744.0447750407975
Iteration: 21 | delta: 1569.6402975367182
Iteration: 22 | delta: 1569.6402975367182
Iteration: 23 | delta: 1569.6402975367182
Iteration: 24 | delta: 1271.408641004742
Iteration: 25 | delta: 1029.8409992138409
Iteration: 26 | delta: 1144.2677769042675
Iteration: 27 | delta: 329.4727339404417
Iteration: 28 | delta: 296.5254605463979
Iteration: 29 | delta: 274.316797741365
Iteration: 30 | delta: 570.8422582877629
Iteration: 31 | delta: 641.4025201543609
Iteration: 32 | delta: 641.4025201543609
Iteration: 33 | delta: 519.5360413250328
Iteration: 34 | delta: 519.5360413250328
Iteration: 35 | delta: 467.58243719252914
Iteration: 36 | delta: 467.58243719252914
Iteration: 37 | delta: 179.13634934664697
Iteration: 38 | delta: 113.8963567610881
Iteration: 39 | delta: 201.27890718327035
Iteration: 40 | delta: 115.47596022357538
Iteration: 41 | delta: 115.47596022357538
Iteration: 42 | delta: 103.92836420121785
Iteration: 43 | delta: 29.20096453026872
Iteration: 44 | delta: 47.10128697246182
Iteration: 45 | delta: 42.391158275217094
Iteration: 46 | delta: 34.33683820292572
Iteration: 47 | delta: 16.58313077936691
Iteration: 48 | delta: 30.903154382633147
Iteration: 49 | delta: 23.65278126951671
Iteration: 50 | delta: 66.00705746376389
Iteration: 51 | delta: 28.950925722217107
Iteration: 52 | delta: 69.40109206155103
Iteration: 53 | delta: 29.87489447068856
Iteration: 54 | delta: 24.19866452125825
Iteration: 55 | delta: 44.16396388384692
Iteration: 56 | delta: 15.599089921794985
Iteration: 57 | delta: 20.713714048850306
Iteration: 58 | delta: 10.395127766883888
Iteration: 59 | delta: 15.518589790928672
Iteration: 60 | delta: 7.069650490151616
Iteration: 61 | delta: 7.069650490151616
Iteration: 62 | delta: 6.17991842140691
Iteration: 63 | delta: 5.561926579265673
Iteration: 64 | delta: 13.84713802506667
Iteration: 65 | delta: 5.726416897021409
Iteration: 66 | delta: 4.638397686587268
Iteration: 67 | delta: 6.866576023785456
Iteration: 68 | delta: 3.757102126135578
Iteration: 69 | delta: 4.50516052920284
Iteration: 70 | delta: 2.588063416659679
Iteration: 71 | delta: 2.7389274499528256
Iteration: 72 | delta: 2.955835823210691
Iteration: 73 | delta: 2.3292570749936203
Iteration: 74 | delta: 2.0963313674938036
Iteration: 75 | delta: 2.0963313674938036
Iteration: 76 | delta: 1.5282255669035294
Iteration: 77 | delta: 1.2378627091929957
Iteration: 78 | delta: 1.5282255669035294
Iteration: 79 | delta: 3.262101240957236
Iteration: 80 | delta: 1.2378627091911767
Iteration: 81 | delta: 1.2378627091911767
Iteration: 82 | delta: 1.1140764382726047
Iteration: 83 | delta: 1.3754030102136312
Iteration: 84 | delta: 1.1140764382726047
Iteration: 85 | delta: 1.0026687944464356
Iteration: 86 | delta: 0.902401915001974
Iteration: 87 | delta: 0.902401915001974
Iteration: 88 | delta: 1.0306362240307863
Iteration: 89 | delta: 1.0306362240307863
Iteration: 90 | delta: 0.4151015510042271
Iteration: 91 | delta: 0.8348153414644912
Iteration: 92 | delta: 0.7513338073176783
Iteration: 93 | delta: 0.7513338073176783
Iteration: 94 | delta: 0.7478150655542777
Iteration: 95 | delta: 1.0373462415973336
Iteration: 96 | delta: 1.0373462415973336
Iteration: 97 | delta: 0.6044739457574906
Iteration: 98 | delta: 0.16081884587401873
Iteration: 99 | delta: 0.5440265511815596
Iteration: 100 | delta: 0.5440265511815596
Reached maximum number of iterations.
Execution time (Incremental VI): 0.059093797 seconds
Nb states discovered (env): 43
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
