Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Mountain_Car
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
........Model Checking complete. No error nodes found.Total states: 12049

End of exploration 12048 | Exploration time: 3.893556797 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 0.1
Iteration: 2 | delta: 0.1
Iteration: 3 | delta: 0.1
Iteration: 4 | delta: 0.1
Iteration: 5 | delta: 0.19
Iteration: 6 | delta: 0.19
Iteration: 7 | delta: 0.19
Iteration: 8 | delta: 0.19
Iteration: 9 | delta: 0.19
Iteration: 10 | delta: 0.19
Iteration: 11 | delta: 0.19
Iteration: 12 | delta: 0.19
Iteration: 13 | delta: 0.19
Iteration: 14 | delta: 0.19
Iteration: 15 | delta: 0.19
Iteration: 16 | delta: 0.19
Iteration: 17 | delta: 0.19
Iteration: 18 | delta: 0.19
Iteration: 19 | delta: 0.19
Iteration: 20 | delta: 0.19
Iteration: 21 | delta: 0.19
Iteration: 22 | delta: 0.19
Iteration: 23 | delta: 0.19
Iteration: 24 | delta: 0.19
Iteration: 25 | delta: 0.19
Iteration: 26 | delta: 0.19
Iteration: 27 | delta: 0.19
Iteration: 28 | delta: 0.19
Iteration: 29 | delta: 0.271
Iteration: 30 | delta: 0.271
Iteration: 31 | delta: 0.19
Iteration: 32 | delta: 0.19
Iteration: 33 | delta: 0.19
Iteration: 34 | delta: 0.19
Iteration: 35 | delta: 0.19
Iteration: 36 | delta: 0.271
Iteration: 37 | delta: 0.271
Iteration: 38 | delta: 0.34390000000000004
Iteration: 39 | delta: 0.19
Iteration: 40 | delta: 0.271
Iteration: 41 | delta: 0.19
Iteration: 42 | delta: 0.19
Iteration: 43 | delta: 0.271
Iteration: 44 | delta: 0.271
Iteration: 45 | delta: 0.271
Iteration: 46 | delta: 0.271
Iteration: 47 | delta: 0.271
Iteration: 48 | delta: 0.271
Iteration: 49 | delta: 0.271
Iteration: 50 | delta: 0.271
Iteration: 51 | delta: 0.271
Iteration: 52 | delta: 0.271
Iteration: 53 | delta: 0.271
Iteration: 54 | delta: 0.271
Iteration: 55 | delta: 0.271
Iteration: 56 | delta: 0.24390000000000003
Iteration: 57 | delta: 0.271
Iteration: 58 | delta: 0.271
Iteration: 59 | delta: 0.271
Iteration: 60 | delta: 0.271
Iteration: 61 | delta: 0.271
Iteration: 62 | delta: 0.271
Iteration: 63 | delta: 0.271
Iteration: 64 | delta: 0.271
Iteration: 65 | delta: 0.271
Iteration: 66 | delta: 0.271
Iteration: 67 | delta: 0.271
Iteration: 68 | delta: 0.271
Iteration: 69 | delta: 0.271
Iteration: 70 | delta: 0.271
Iteration: 71 | delta: 0.271
Iteration: 72 | delta: 0.271
Iteration: 73 | delta: 0.271
Iteration: 74 | delta: 0.271
Iteration: 75 | delta: 0.271
Iteration: 76 | delta: 0.271
Iteration: 77 | delta: 0.271
Iteration: 78 | delta: 0.271
Iteration: 79 | delta: 0.271
Iteration: 80 | delta: 0.271
Iteration: 81 | delta: 0.271
Iteration: 82 | delta: 0.271
Iteration: 83 | delta: 0.271
Iteration: 84 | delta: 0.271
Iteration: 85 | delta: 0.34390000000000004
Iteration: 86 | delta: 0.271
Iteration: 87 | delta: 0.271
Iteration: 88 | delta: 0.271
Iteration: 89 | delta: 0.34390000000000004
Iteration: 90 | delta: 0.271
Iteration: 91 | delta: 0.271
Iteration: 92 | delta: 0.271
Iteration: 93 | delta: 0.271
Iteration: 94 | delta: 0.34390000000000004
Iteration: 95 | delta: 0.271
Iteration: 96 | delta: 0.34390000000000004
Iteration: 97 | delta: 0.271
Iteration: 98 | delta: 0.34390000000000004
Iteration: 99 | delta: 0.271
Iteration: 100 | delta: 0.34390000000000004
Reached maximum number of iterations.
Execution time (Incremental VI): 43.694958541 seconds
Nb states discovered (env): 12048
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
