Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Mountain_Car
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
........Model Checking complete. No error nodes found.Total states: 12049

End of exploration 12048 | Exploration time: 3.844869873 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 0.1
Update 200 | last delta: 0.1
Update 300 | last delta: 0.19
Update 400 | last delta: 0.1
Update 500 | last delta: 0.1
Update 600 | last delta: 0.19
Update 700 | last delta: 0.19
Update 800 | last delta: 0.1
Update 900 | last delta: 0.1
Update 1000 | last delta: 0.19
Update 1100 | last delta: 0.1
Update 1200 | last delta: 0.1
Update 1300 | last delta: 0.1
Update 1400 | last delta: 0.1
Update 1500 | last delta: 0.1
Update 1600 | last delta: 0.1
Update 1700 | last delta: 0.1
Update 1800 | last delta: 0.1
Update 1900 | last delta: 0.1
Update 2000 | last delta: 0.1
Update 2100 | last delta: 0.1
Update 2200 | last delta: 0.1
Update 2300 | last delta: 0.1
Update 2400 | last delta: 0.1
Update 2500 | last delta: 0.1
Update 2600 | last delta: 0.1
Update 2700 | last delta: 0.1
Update 2800 | last delta: 0.1
Update 2900 | last delta: 0.171
Update 3000 | last delta: 0.19
Update 3100 | last delta: 0.1
Update 3200 | last delta: 0.1
Update 3300 | last delta: 0.19
Update 3400 | last delta: 0.1
Update 3500 | last delta: 0.1
Update 3600 | last delta: 0.19
Update 3700 | last delta: 0.1
Update 3800 | last delta: 0.1
Update 3900 | last delta: 0.1
Update 4000 | last delta: 0.1
Update 4100 | last delta: 0.1
Update 4200 | last delta: 0.1
Update 4300 | last delta: 0.1
Update 4400 | last delta: 0.1
Update 4500 | last delta: 0.1
Update 4600 | last delta: 0.1
Update 4700 | last delta: 0.1
Update 4800 | last delta: 0.1
Update 4900 | last delta: 0.1
Update 5000 | last delta: 0.1
Update 5100 | last delta: 0.19
Update 5200 | last delta: 0.1
Update 5300 | last delta: 0.19
Update 5400 | last delta: 0.19
Update 5500 | last delta: 0.19
Update 5600 | last delta: 0.15390000000000004
Update 5700 | last delta: 0.1
Update 5800 | last delta: 0.1
Update 5900 | last delta: 0.19
Update 6000 | last delta: 0.19
Update 6100 | last delta: 0.1
Update 6200 | last delta: 0.1
Update 6300 | last delta: 0.1
Update 6400 | last delta: 0.171
Update 6500 | last delta: 0.19
Update 6600 | last delta: 0.1
Update 6700 | last delta: 0.1
Update 6800 | last delta: 0.19
Update 6900 | last delta: 0.1
Update 7000 | last delta: 0.1
Update 7100 | last delta: 0.19
Update 7200 | last delta: 0.19
Update 7300 | last delta: 0.19
Update 7400 | last delta: 0.1
Update 7500 | last delta: 0.1
Update 7600 | last delta: 0.1
Update 7700 | last delta: 0.1
Update 7800 | last delta: 0.271
Update 7900 | last delta: 0.271
Update 8000 | last delta: 0.1
Update 8100 | last delta: 0.09
Update 8200 | last delta: 0.19
Update 8300 | last delta: 0.19
Update 8400 | last delta: 0.1
Update 8500 | last delta: 0.171
Update 8600 | last delta: 0.19
Update 8700 | last delta: 0.09
Update 8800 | last delta: 0.1
Update 8900 | last delta: 0.1
Update 9000 | last delta: 0.1
Update 9100 | last delta: 0.09
Update 9200 | last delta: 0.171
Update 9300 | last delta: 0.1
Update 9400 | last delta: 0.171
Update 9500 | last delta: 0.171
Update 9600 | last delta: 0.19
Update 9700 | last delta: 0.1
Update 9800 | last delta: 0.1
Update 9900 | last delta: 0.271
Update 10000 | last delta: 0.19
Update 10100 | last delta: 0.171
Update 10200 | last delta: 0.1
Update 10300 | last delta: 0.19
Update 10400 | last delta: 0.1
Update 10500 | last delta: 0.1
Update 10600 | last delta: 0.1
Update 10700 | last delta: 0.1
Update 10800 | last delta: 0.09
Update 10900 | last delta: 0.1
Update 11000 | last delta: 0.19
Update 11100 | last delta: 0.09
Update 11200 | last delta: 0.1
Update 11300 | last delta: 0.19
Update 11400 | last delta: 0.271
Update 11500 | last delta: 0.171
Update 11600 | last delta: 0.09
Update 11700 | last delta: 0.19
Update 11800 | last delta: 0.24390000000000003
Update 11900 | last delta: 0.1
Update 12000 | last delta: 0.171
Update 12100 | last delta: 0.171
Update 12200 | last delta: 0.19
Update 12300 | last delta: 0.1
Update 12400 | last delta: 0.19
Update 12500 | last delta: 0.171
Update 12600 | last delta: 0.171
Update 12700 | last delta: 0.171
Update 12800 | last delta: 0.171
Update 12900 | last delta: 0.1
Update 13000 | last delta: 0.19
Update 13100 | last delta: 0.1
Update 13200 | last delta: 0.171
Update 13300 | last delta: 0.09
Update 13400 | last delta: 0.171
Update 13500 | last delta: 0.171
Update 13600 | last delta: 0.171
Update 13700 | last delta: 0.171
Update 13800 | last delta: 0.171
Update 13900 | last delta: 0.09
Update 14000 | last delta: 0.171
Update 14100 | last delta: 0.171
Update 14200 | last delta: 0.171
Update 14300 | last delta: 0.171
Update 14400 | last delta: 0.09
Update 14500 | last delta: 0.09
Update 14600 | last delta: 0.171
Update 14700 | last delta: 0.171
Update 14800 | last delta: 0.271
Update 14900 | last delta: 0.08100000000000002
Update 15000 | last delta: 0.09
Update 15100 | last delta: 0.171
Update 15200 | last delta: 0.24390000000000003
Update 15300 | last delta: 0.15390000000000004
Update 15400 | last delta: 0.171
Update 15500 | last delta: 0.09
Update 15600 | last delta: 0.15390000000000004
Update 15700 | last delta: 0.08100000000000002
Update 15800 | last delta: 0.171
Update 15900 | last delta: 0.24390000000000003
Update 16000 | last delta: 0.171
Update 16100 | last delta: 0.171
Update 16200 | last delta: 0.15390000000000004
Update 16300 | last delta: 0.09
Update 16400 | last delta: 0.24390000000000003
Update 16500 | last delta: 0.30951000000000006
Update 16600 | last delta: 0.15390000000000004
Update 16700 | last delta: 0.13851000000000002
Update 16800 | last delta: 0.171
Update 16900 | last delta: 0.08100000000000002
Update 17000 | last delta: 0.15390000000000004
Update 17100 | last delta: 0.15390000000000004
Update 17200 | last delta: 0.09
Update 17300 | last delta: 0.171
Update 17400 | last delta: 0.19
Update 17500 | last delta: 0.1
Update 17600 | last delta: 0.08100000000000002
Update 17700 | last delta: 0.07290000000000002
Update 17800 | last delta: 0.09
Update 17900 | last delta: 0.1
Update 18000 | last delta: 0.09
Update 18100 | last delta: 0.08100000000000002
Update 18200 | last delta: 0.15390000000000004
Update 18300 | last delta: 0.09
Update 18400 | last delta: 0.171
Update 18500 | last delta: 0.171
Update 18600 | last delta: 0.171
Update 18700 | last delta: 0.21951000000000004
Update 18800 | last delta: 0.13851000000000002
Update 18900 | last delta: 0.08100000000000002
Update 19000 | last delta: 0.09
Update 19100 | last delta: 0.17780310000000005
Update 19200 | last delta: 0.27855900000000006
Update 19300 | last delta: 0.25070310000000007
Update 19400 | last delta: 0.13851000000000002
Update 19500 | last delta: 0.12465900000000002
Update 19600 | last delta: 0.24390000000000003
Update 19700 | last delta: 0.24390000000000003
Update 19800 | last delta: 0.15390000000000004
Update 19900 | last delta: 0.171
Update 20000 | last delta: 0.1
Update 20100 | last delta: 0.09
Update 20200 | last delta: 0.171
Update 20300 | last delta: 0.08100000000000002
Update 20400 | last delta: 0.24390000000000003
Update 20500 | last delta: 0.15390000000000004
Update 20600 | last delta: 0.13851000000000002
Update 20700 | last delta: 0.11219310000000005
Update 20800 | last delta: 0.15390000000000004
Update 20900 | last delta: 0.21951000000000004
Update 21000 | last delta: 0.171
Update 21100 | last delta: 0.1
Update 21200 | last delta: 0.07290000000000002
Update 21300 | last delta: 0.21951000000000004
Update 21400 | last delta: 0.08100000000000002
Update 21500 | last delta: 0.05904900000000002
Update 21600 | last delta: 0.15390000000000004
Update 21700 | last delta: 0.15390000000000004
Update 21800 | last delta: 0.24390000000000003
Update 21900 | last delta: 0.15390000000000004
Update 22000 | last delta: 0.21951000000000004
Update 22100 | last delta: 0.13851000000000002
Update 22200 | last delta: 0.09
Update 22300 | last delta: 0.12465900000000002
Update 22400 | last delta: 0.09
Update 22500 | last delta: 0.171
Update 22600 | last delta: 0.171
Update 22700 | last delta: 0.15390000000000004
Update 22800 | last delta: 0.06561
Update 22900 | last delta: 0.07290000000000002
Update 23000 | last delta: 0.05904900000000002
Update 23100 | last delta: 0.17780310000000005
Update 23200 | last delta: 0.15390000000000004
Update 23300 | last delta: 0.24390000000000003
Update 23400 | last delta: 0.171
Update 23500 | last delta: 0.09
Update 23600 | last delta: 0.27855900000000006
Update 23700 | last delta: 0.21951000000000004
Update 23800 | last delta: 0.24390000000000003
Update 23900 | last delta: 0.24390000000000003
Update 24000 | last delta: 0.24390000000000003
Update 24100 | last delta: 0.15390000000000004
Update 24200 | last delta: 0.15390000000000004
Update 24300 | last delta: 0.15390000000000004
Update 24400 | last delta: 0.15390000000000004
Update 24500 | last delta: 0.15390000000000004
Update 24600 | last delta: 0.15390000000000004
Update 24700 | last delta: 0.15390000000000004
Update 24800 | last delta: 0.15390000000000004
Update 24900 | last delta: 0.15390000000000004
Update 25000 | last delta: 0.15390000000000004
Update 25100 | last delta: 0.13851000000000002
Update 25200 | last delta: 0.13851000000000002
Update 25300 | last delta: 0.13851000000000002
Update 25400 | last delta: 0.13851000000000002
Update 25500 | last delta: 0.13851000000000002
Update 25600 | last delta: 0.13851000000000002
Update 25700 | last delta: 0.13851000000000002
Update 25800 | last delta: 0.13851000000000002
Update 25900 | last delta: 0.13851000000000002
Update 26000 | last delta: 0.13851000000000002
Update 26100 | last delta: 0.13851000000000002
Update 26200 | last delta: 0.12465900000000002
Update 26300 | last delta: 0.12465900000000002
Update 26400 | last delta: 0.12465900000000002
Update 26500 | last delta: 0.12465900000000002
Update 26600 | last delta: 0.10097379000000006
Update 26700 | last delta: 0.13851000000000002
Update 26800 | last delta: 0.13851000000000002
Update 26900 | last delta: 0.12465900000000002
Update 27000 | last delta: 0.12465900000000002
Update 27100 | last delta: 0.11219310000000005
Update 27200 | last delta: 0.09
