Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lakeembedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 45

End of exploration 44 | Exploration time: 0.021267984 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 1539.0
Iteration: 3 | delta: 1539.0
Iteration: 4 | delta: 2194.2000000000003
Iteration: 5 | delta: 1597.1328000000003
Iteration: 6 | delta: 1600.2278999999999
Iteration: 7 | delta: 2030.69511
Iteration: 8 | delta: 1600.2278999999999
Iteration: 9 | delta: 1440.2051099999996
Iteration: 10 | delta: 1296.1845990000002
Iteration: 11 | delta: 1166.5661390999999
Iteration: 12 | delta: 1815.2935690535114
Iteration: 13 | delta: 2206.4867200333447
Iteration: 14 | delta: 2206.4867200333447
Iteration: 15 | delta: 1787.2542432270088
Iteration: 16 | delta: 2271.0178550943087
Iteration: 17 | delta: 1839.5244626263907
Iteration: 18 | delta: 1839.5244626263907
Iteration: 19 | delta: 1839.5244626263907
Iteration: 20 | delta: 614.6525410047398
Iteration: 21 | delta: 553.1872869042654
Iteration: 22 | delta: 827.5040846456304
Iteration: 23 | delta: 827.5040846456304
Iteration: 24 | delta: 712.669466838177
Iteration: 25 | delta: 641.4025201543591
Iteration: 26 | delta: 577.2622681389239
Iteration: 27 | delta: 785.1583474887975
Iteration: 28 | delta: 706.642512739918
Iteration: 29 | delta: 820.538869501006
Iteration: 30 | delta: 113.8963567610881
Iteration: 31 | delta: 98.4770902183609
Iteration: 32 | delta: 201.27890718327035
Iteration: 33 | delta: 181.1510164649426
Iteration: 34 | delta: 80.54320072291193
Iteration: 35 | delta: 79.76644307687275
Iteration: 36 | delta: 52.334763302736974
Iteration: 37 | delta: 58.14973700304108
Iteration: 38 | delta: 52.334763302736974
Iteration: 39 | delta: 113.8963567610881
Iteration: 40 | delta: 42.391158275217094
Iteration: 41 | delta: 38.15204244769484
Iteration: 42 | delta: 38.15204244769484
Iteration: 43 | delta: 33.19432718965345
Iteration: 44 | delta: 33.19432718965345
Iteration: 45 | delta: 43.307230401976085
Iteration: 46 | delta: 38.976507361778204
Iteration: 47 | delta: 31.134413059327017
Iteration: 48 | delta: 18.248003631400934
Iteration: 49 | delta: 16.423203268261204
Iteration: 50 | delta: 13.302794647290284
Iteration: 51 | delta: 11.972515182562347
Iteration: 52 | delta: 14.780882941433447
Iteration: 53 | delta: 8.727963568087944
Iteration: 54 | delta: 11.972515182562347
Iteration: 55 | delta: 10.775263664305385
Iteration: 56 | delta: 9.697737297874482
Iteration: 57 | delta: 17.242877545477313
Iteration: 58 | delta: 5.726416897021409
Iteration: 59 | delta: 5.535878259398487
Iteration: 60 | delta: 7.931660044065211
Iteration: 61 | delta: 4.174557917929633
Iteration: 62 | delta: 3.757102126135578
Iteration: 63 | delta: 4.174557917929633
Iteration: 64 | delta: 3.043252722171019
Iteration: 65 | delta: 9.419171500388984
Iteration: 66 | delta: 3.043252722171019
Iteration: 67 | delta: 2.7389274499528256
Iteration: 68 | delta: 3.4143195698379714
Iteration: 69 | delta: 1.996678111016081
Iteration: 70 | delta: 1.7970102999152004
Iteration: 71 | delta: 1.4555783429314033
Iteration: 72 | delta: 1.3100205086375354
Iteration: 73 | delta: 1.4555783429314033
Iteration: 74 | delta: 1.3100205086375354
Iteration: 75 | delta: 3.2842620257906674
Iteration: 76 | delta: 1.3100205086375354
Iteration: 77 | delta: 1.6980284076689713
Iteration: 78 | delta: 1.3383300269970277
Iteration: 79 | delta: 1.3383300269970277
Iteration: 80 | delta: 1.0611166119961126
Iteration: 81 | delta: 0.8595044557168876
Iteration: 82 | delta: 0.7735540101457445
Iteration: 83 | delta: 0.5639208733955456
Iteration: 84 | delta: 0.6961986091318977
Iteration: 85 | delta: 1.1451513600331964
Iteration: 86 | delta: 0.4567759074507194
Iteration: 87 | delta: 0.36998848503571935
Iteration: 88 | delta: 0.22741436246997182
Iteration: 89 | delta: 0.3329896365321474
Iteration: 90 | delta: 0.2046729262228837
Iteration: 91 | delta: 0.5466261494702849
Iteration: 92 | delta: 0.49196353452316544
Iteration: 93 | delta: 0.49196353452316544
Iteration: 94 | delta: 0.159267910885319
Iteration: 95 | delta: 0.159267910885319
Iteration: 96 | delta: 0.18676034092186455
Iteration: 97 | delta: 0.16808430682976905
Iteration: 98 | delta: 0.3496089911841409
Iteration: 99 | delta: 0.21177417012586375
Iteration: 100 | delta: 0.11028011370945023
Reached maximum number of iterations.
Execution time (Incremental VI): 0.085030015 seconds
Nb states discovered (env): 44
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
