Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Frozen_lake
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 43 | Exploration time: 0.042432688 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 4685.59
Iteration: 3 | delta: 1383.39
Iteration: 4 | delta: 2316.031
Iteration: 5 | delta: 2902.3155990000005
Iteration: 6 | delta: 3359.9390716710004
Iteration: 7 | delta: 3712.3155990000005
Iteration: 8 | delta: 6039.188679053511
Iteration: 9 | delta: 3507.452830033343
Iteration: 10 | delta: 2484.677429170965
Iteration: 11 | delta: 2271.0178550943083
Iteration: 12 | delta: 1074.14041876288
Iteration: 13 | delta: 1839.5244626263902
Iteration: 14 | delta: 1655.5720163637516
Iteration: 15 | delta: 430.4672099999998
Iteration: 16 | delta: 966.7263768865914
Iteration: 17 | delta: 348.67844010000044
Iteration: 18 | delta: 669.9043562779189
Iteration: 19 | delta: 542.6225285851142
Iteration: 20 | delta: 543.9370855082416
Iteration: 21 | delta: 439.5242481539426
Iteration: 22 | delta: 266.8729144917579
Iteration: 23 | delta: 338.66271326094375
Iteration: 24 | delta: 194.55035466449135
Iteration: 25 | delta: 185.30201888518513
Iteration: 26 | delta: 326.651561044102
Iteration: 27 | delta: 336.37756321490815
Iteration: 28 | delta: 302.73980689341715
Iteration: 29 | delta: 302.73980689341715
Iteration: 30 | delta: 272.4658262040757
Iteration: 31 | delta: 214.31608920103554
Iteration: 32 | delta: 221.15598684771157
Iteration: 33 | delta: 221.15598684771157
Iteration: 34 | delta: 179.13634934664697
Iteration: 35 | delta: 199.04038816294087
Iteration: 36 | delta: 161.22271441198245
Iteration: 37 | delta: 77.47516603504664
Iteration: 38 | delta: 83.03044407883135
Iteration: 39 | delta: 85.50266333525451
Iteration: 40 | delta: 76.95239700172897
Iteration: 41 | delta: 85.50266333525451
Iteration: 42 | delta: 54.47627436012135
Iteration: 43 | delta: 69.25715730155571
Iteration: 44 | delta: 41.17347971283016
Iteration: 45 | delta: 69.25715730155571
Iteration: 46 | delta: 44.125782231698395
Iteration: 47 | delta: 32.1676952469079
Iteration: 48 | delta: 35.741883607674936
Iteration: 49 | delta: 32.1676952469079
Iteration: 50 | delta: 13.302794647290284
Iteration: 51 | delta: 11.972515182562347
Iteration: 52 | delta: 32.1676952469079
Iteration: 53 | delta: 15.951449644175227
Iteration: 54 | delta: 19.693147708859215
Iteration: 55 | delta: 17.723832937973384
Iteration: 56 | delta: 31.570970963039144
Iteration: 57 | delta: 30.21088416665043
Iteration: 58 | delta: 27.189795749985933
Iteration: 59 | delta: 24.470816174987704
Iteration: 60 | delta: 27.189795749985933
Iteration: 61 | delta: 25.78083668362433
Iteration: 62 | delta: 20.88247771373608
Iteration: 63 | delta: 3.944617309341993
Iteration: 64 | delta: 3.5501555784076118
Iteration: 65 | delta: 3.5501555784076118
Iteration: 66 | delta: 3.043252722171019
Iteration: 67 | delta: 4.3453786377858705
Iteration: 68 | delta: 3.5501555784067023
Iteration: 69 | delta: 3.9108407740068287
Iteration: 70 | delta: 4.3453786377858705
Iteration: 71 | delta: 3.9108407740068287
Iteration: 72 | delta: 2.6602522408902587
Iteration: 73 | delta: 3.284262025789758
Iteration: 74 | delta: 2.851002924252498
Iteration: 75 | delta: 2.9358911168628765
Iteration: 76 | delta: 1.2378627091911767
Iteration: 77 | delta: 2.6423020051770436
Iteration: 78 | delta: 0.7029781215669573
Iteration: 79 | delta: 2.642302005176134
Iteration: 80 | delta: 0.7810868017422763
Iteration: 81 | delta: 0.5694122784689171
Iteration: 82 | delta: 0.5075287860563549
Iteration: 83 | delta: 1.9262381617754727
Iteration: 84 | delta: 1.560252911038333
Iteration: 85 | delta: 1.7372172564664652
Iteration: 86 | delta: 1.8964851673517842
Iteration: 87 | delta: 2.1072057415021845
Iteration: 88 | delta: 1.1374243721465973
Iteration: 89 | delta: 1.0236819349320285
Iteration: 90 | delta: 0.5869962196793495
Iteration: 91 | delta: 0.6716377175080197
Iteration: 92 | delta: 0.47546693793992745
Iteration: 93 | delta: 0.6522180218653375
Iteration: 94 | delta: 0.6057302030985738
Iteration: 95 | delta: 1.9276948697879561
Iteration: 96 | delta: 0.23577650993684074
Iteration: 97 | delta: 0.4406615064563084
Iteration: 98 | delta: 0.11723693864223605
Iteration: 99 | delta: 0.16721689669611806
Iteration: 100 | delta: 0.21219885894333856
Reached maximum number of iterations.
Execution time (Incremental VI): 7.573627176 seconds
Nb states discovered (env): 43
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
