Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Interlockingembedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 100226 | Exploration time: 194.882929178 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 50000.0
Iteration: 2 | delta: 50000.0
Iteration: 3 | delta: 50000.0
Iteration: 4 | delta: 50000.0
Iteration: 5 | delta: 50000.0
Iteration: 6 | delta: 50000.0
Iteration: 7 | delta: 50000.0
Iteration: 8 | delta: 50000.0
Iteration: 9 | delta: 50000.0
Iteration: 10 | delta: 50000.0
Iteration: 11 | delta: 50000.0
Iteration: 12 | delta: 50000.0
Iteration: 13 | delta: 50000.0
Iteration: 14 | delta: 50000.0
Iteration: 15 | delta: 50000.0
Iteration: 16 | delta: 50000.0
Iteration: 17 | delta: 50000.0
Iteration: 18 | delta: 50000.0
Iteration: 19 | delta: 50000.0
Iteration: 20 | delta: 50000.0
Iteration: 21 | delta: 50000.0
Iteration: 22 | delta: 50000.0
Iteration: 23 | delta: 50000.0
Iteration: 24 | delta: 50000.0
Iteration: 25 | delta: 50000.0
Iteration: 26 | delta: 50000.0
Iteration: 27 | delta: 50000.0
Iteration: 28 | delta: 50000.0
Iteration: 29 | delta: 50000.0
Iteration: 30 | delta: 50000.0
Iteration: 31 | delta: 50000.0
Iteration: 32 | delta: 50000.0
