Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Interlocking
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
...................................................................................................................................................................Model Checking complete. No error nodes found.Total states: 100228

End of exploration 100227 | Exploration time: 81.777251405 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 50000.0
Update 200 | last delta: 50000.0
Update 300 | last delta: 50000.0
Update 400 | last delta: 50000.0
Update 500 | last delta: 50000.0
Update 600 | last delta: 50000.0
Update 700 | last delta: 45036.6
Update 800 | last delta: 40569.340000000004
Update 900 | last delta: 40568.200000000004
Update 1000 | last delta: 36548.464
Update 1100 | last delta: 36547.922
Update 1200 | last delta: 36546.98
Update 1300 | last delta: 32929.817599999995
Update 1400 | last delta: 32929.1298
Update 1500 | last delta: 32929.0576
Update 1600 | last delta: 32928.3698
Update 1700 | last delta: 29674.05486
Update 1800 | last delta: 29673.235839999998
Update 1900 | last delta: 29672.57086
Update 2000 | last delta: 29672.01682
Update 2100 | last delta: 29671.19780000001
Update 2200 | last delta: 29670.778780000004
Update 2300 | last delta: 26743.049374000002
Update 2400 | last delta: 26742.112256
Update 2500 | last delta: 26741.352255999995
Update 2600 | last delta: 26741.175138000002
Update 2700 | last delta: 26740.415138
Update 2800 | last delta: 26740.238020000008
Update 2900 | last delta: 26739.300902000003
Update 3000 | last delta: 26738.10242000001
Update 3100 | last delta: 26680.112256
Update 3200 | last delta: 26679.175138000002
Update 3300 | last delta: 26677.300902000003
Update 3400 | last delta: 24104.944436600003
Update 3500 | last delta: 24103.9010304
Update 3600 | last delta: 24103.257624200003
Update 3700 | last delta: 24102.8576242
Update 3800 | last delta: 24102.21421800001
Update 3900 | last delta: 24101.773624200003
Update 4000 | last delta: 24100.770811800005
Update 4100 | last delta: 24042.944436600003
Update 4200 | last delta: 24040.8576242
Update 4300 | last delta: 23986.944436600003
Update 4400 | last delta: 23984.8576242
Update 4500 | last delta: 23982.970811800005
Update 4600 | last delta: 21730.449992940004
Update 4700 | last delta: 21730.070927360004
Update 4800 | last delta: 21729.31092736
Update 4900 | last delta: 21728.93186178
Update 5000 | last delta: 21728.17186178
Update 5100 | last delta: 21727.792796200007
Update 5200 | last delta: 21726.996261780005
Update 5300 | last delta: 21725.893730620006
