Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Puzzle
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
..............................Model Checking complete. No error nodes found.Total states: 181442

End of exploration 181441 | Exploration time: 14.791337273 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 4.95
Iteration: 2 | delta: 5.95
Iteration: 3 | delta: 5.95
Iteration: 4 | delta: 5.605
Iteration: 5 | delta: 6.505000000000001
Iteration: 6 | delta: 5.95
Iteration: 7 | delta: 9.305
Iteration: 8 | delta: 5.605
Iteration: 9 | delta: 7.505000000000001
Iteration: 10 | delta: 5.605
Iteration: 11 | delta: 6.605
Iteration: 12 | delta: 4.95
Iteration: 13 | delta: 7.9945
Iteration: 14 | delta: 4.95
Iteration: 15 | delta: 6.605
Iteration: 16 | delta: 7.505000000000001
Iteration: 17 | delta: 6.605
Iteration: 18 | delta: 10.305
Iteration: 19 | delta: 6.9945
Iteration: 20 | delta: 10.145050000000001
Iteration: 21 | delta: 6.184500000000001
Iteration: 22 | delta: 7.505000000000001
Iteration: 23 | delta: 8.405000000000001
Iteration: 24 | delta: 9.405000000000001
Iteration: 25 | delta: 10.405000000000001
Iteration: 26 | delta: 9.305
Iteration: 27 | delta: 10.305
Iteration: 28 | delta: 7.4645
Iteration: 29 | delta: 8.8045
Iteration: 30 | delta: 7.405
Iteration: 31 | delta: 7.505000000000001
Iteration: 32 | delta: 8.405000000000001
Iteration: 33 | delta: 8.8945
Iteration: 34 | delta: 11.6145
Iteration: 35 | delta: 8.405000000000001
Iteration: 36 | delta: 11.3245
Iteration: 37 | delta: 9.305
Iteration: 38 | delta: 9.8045
Iteration: 39 | delta: 16.12305
Iteration: 40 | delta: 9.505
Iteration: 41 | delta: 7.094500000000001
Iteration: 42 | delta: 10.704500000000001
Iteration: 43 | delta: 9.8045
Iteration: 44 | delta: 11.514500000000002
Iteration: 45 | delta: 13.774050000000003
Iteration: 46 | delta: 9.8045
Iteration: 47 | delta: 8.8945
Iteration: 48 | delta: 14.314500000000002
Iteration: 49 | delta: 16.833050000000004
Iteration: 50 | delta: 8.505
Iteration: 51 | delta: 10.95505
Iteration: 52 | delta: 6.505000000000001
Iteration: 53 | delta: 10.305
Iteration: 54 | delta: 7.505000000000001
Iteration: 55 | delta: 10.405000000000001
Iteration: 56 | delta: 7.894500000000001
Iteration: 57 | delta: 8.8945
Iteration: 58 | delta: 8.827845000000003
Iteration: 59 | delta: 9.405000000000001
Iteration: 60 | delta: 9.8045
Iteration: 61 | delta: 11.604500000000002
Iteration: 62 | delta: 8.8945
Iteration: 63 | delta: 13.31305
Iteration: 64 | delta: 10.514500000000002
Iteration: 65 | delta: 8.9045
Iteration: 66 | delta: 13.31305
Iteration: 67 | delta: 16.12305
Iteration: 68 | delta: 10.604500000000002
Iteration: 69 | delta: 10.305
Iteration: 70 | delta: 20.239770500000002
Iteration: 71 | delta: 10.405000000000001
Iteration: 72 | delta: 10.514500000000002
Iteration: 73 | delta: 10.305
Iteration: 74 | delta: 11.60305
Iteration: 75 | delta: 12.5045
Iteration: 76 | delta: 10.514500000000002
Iteration: 77 | delta: 11.774050000000003
Iteration: 78 | delta: 10.33505
Iteration: 79 | delta: 7.505000000000001
Iteration: 80 | delta: 10.704500000000001
Iteration: 81 | delta: 8.33505
Iteration: 82 | delta: 13.709545000000002
Iteration: 83 | delta: 12.514500000000002
Iteration: 84 | delta: 7.505000000000001
Iteration: 85 | delta: 8.9045
Iteration: 86 | delta: 7.505000000000001
Iteration: 87 | delta: 11.809545
Iteration: 88 | delta: 10.145050000000001
Iteration: 89 | delta: 9.2745
Iteration: 90 | delta: 8.97405
Iteration: 91 | delta: 12.514500000000002
Iteration: 92 | delta: 11.774050000000003
Iteration: 93 | delta: 11.774050000000003
Iteration: 94 | delta: 9.7273905
Iteration: 95 | delta: 10.96405
Iteration: 96 | delta: 9.305
Iteration: 97 | delta: 9.305
Iteration: 98 | delta: 12.594214105000002
Iteration: 99 | delta: 9.8045
Iteration: 100 | delta: 10.514500000000002
Reached maximum number of iterations.
Execution time (Incremental VI): 225.298124068 seconds
Nb states discovered (env): 181441
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
