Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Puzzle
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
..............................Model Checking complete. No error nodes found.Total states: 181442

End of exploration 181441 | Exploration time: 14.769744374 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 45.13161184629989
Update 200 | last delta: 49.30293120645132
Update 300 | last delta: 49.599791549115054
Update 400 | last delta: 51.02918207075624
Update 500 | last delta: 46.33483327825418
Update 600 | last delta: 44.65134995042877
Update 700 | last delta: 44.335092419376245
Update 800 | last delta: 46.405591715476326
Update 900 | last delta: 44.121860111836966
Update 1000 | last delta: 43.605184278649304
Update 1100 | last delta: 43.09028427864931
Update 1200 | last delta: 42.965080320178025
Update 1300 | last delta: 42.784642998534906
Update 1400 | last delta: 42.65525919806019
Update 1500 | last delta: 44.58416150816294
Update 1600 | last delta: 42.24302065653705
Update 1700 | last delta: 44.471803455622435
Update 1800 | last delta: 41.891175624163644
Update 1900 | last delta: 41.69786672096087
Update 2000 | last delta: 41.46562863958048
Update 2100 | last delta: 41.25952835044575
Update 2200 | last delta: 41.05200024723389
Update 2300 | last delta: 40.891175624163644
Update 2400 | last delta: 40.74056803930488
Update 2500 | last delta: 40.56989714092918
Update 2600 | last delta: 41.36975794947309
Update 2700 | last delta: 40.33238348542904
Update 2800 | last delta: 41.83572052610387
Update 2900 | last delta: 40.082194446623184
Update 3000 | last delta: 39.92825404397831
Update 3100 | last delta: 41.71464787720232
Update 3200 | last delta: 39.78555943120948
Update 3300 | last delta: 39.62074603442594
Update 3400 | last delta: 39.52053270562862
Update 3500 | last delta: 39.4963537394508
Update 3600 | last delta: 39.430746034425944
Update 3700 | last delta: 39.33973327825418
Update 3800 | last delta: 39.233526098907895
Update 3900 | last delta: 40.09369291014876
Update 4000 | last delta: 39.03031122911504
Update 4100 | last delta: 38.887214955385886
Update 4200 | last delta: 38.78175872452403
Update 4300 | last delta: 38.690055850784375
Update 4400 | last delta: 38.83381926158438
Update 4500 | last delta: 38.540091189729154
Update 4600 | last delta: 38.47808004886478
Update 4700 | last delta: 38.39450393907321
Update 4800 | last delta: 38.33448996059846
Update 4900 | last delta: 38.33448996059846
Update 5000 | last delta: 38.349962074001326
Update 5100 | last delta: 38.5827126553239
Update 5200 | last delta: 39.24875262686819
Update 5300 | last delta: 38.170891257220504
Update 5400 | last delta: 38.262696167474964
Update 5500 | last delta: 38.1242019573198
Update 5600 | last delta: 38.03881444281656
Update 5700 | last delta: 37.97170584381601
Update 5800 | last delta: 41.372428817525524
Update 5900 | last delta: 37.887450065535965
Update 6000 | last delta: 40.44887335408496
Update 6100 | last delta: 37.81149877642949
Update 6200 | last delta: 37.73981591020052
Update 6300 | last delta: 37.67694239342389
Update 6400 | last delta: 37.63996484042876
Update 6500 | last delta: 38.222686681592684
Update 6600 | last delta: 37.575256731795015
Update 6700 | last delta: 37.54071698581153
Update 6800 | last delta: 37.7063005471785
Update 6900 | last delta: 37.493987467996945
Update 7000 | last delta: 37.44883863958049
Update 7100 | last delta: 37.401253739450794
Update 7200 | last delta: 37.352936057319795
Update 7300 | last delta: 41.451042242747285
Update 7400 | last delta: 37.26510565043575
Update 7500 | last delta: 38.907154746685414
Update 7600 | last delta: 37.14887215655765
Update 7700 | last delta: 38.64074936139672
Update 7800 | last delta: 39.64986992664749
Update 7900 | last delta: 38.901468016945024
Update 8000 | last delta: 37.05644471914877
Update 8100 | last delta: 39.83680117437782
Update 8200 | last delta: 36.96537204397831
Update 8300 | last delta: 40.33943080457251
Update 8400 | last delta: 38.25548772411526
Update 8500 | last delta: 37.249958946212836
Update 8600 | last delta: 38.426125679192616
Update 8700 | last delta: 39.757431773696666
Update 8800 | last delta: 37.69600098672239
Update 8900 | last delta: 36.9484934598473
Update 9000 | last delta: 36.897009219749314
Update 9100 | last delta: 39.39287504908705
Update 9200 | last delta: 36.861050265705934
Update 9300 | last delta: 36.82685225557256
Update 9400 | last delta: 37.17298535323464
Update 9500 | last delta: 37.06962955479229
Update 9600 | last delta: 36.766859241368245
Update 9700 | last delta: 36.72744503595263
Update 9800 | last delta: 40.28889568755792
Update 9900 | last delta: 36.98180303721111
Update 10000 | last delta: 36.682244839580484
Update 10100 | last delta: 40.315868670659256
Update 10200 | last delta: 37.621695216404994
Update 10300 | last delta: 36.64228772545838
Update 10400 | last delta: 36.62587910370533
Update 10500 | last delta: 37.77317040811178
Update 10600 | last delta: 36.597694865165884
Update 10700 | last delta: 36.57325099584223
Update 10800 | last delta: 36.83031981344881
Update 10900 | last delta: 36.52173330899486
Update 11000 | last delta: 36.49688318518577
Update 11100 | last delta: 37.952425564393295
Update 11200 | last delta: 36.451915064155315
Update 11300 | last delta: 36.42176356274729
Update 11400 | last delta: 36.381642819068034
Update 11500 | last delta: 36.34367933913535
Update 11600 | last delta: 3.53405996975485
Update 11700 | last delta: 36.28219444662318
Update 11800 | last delta: 36.55200648878385
Update 11900 | last delta: 36.25520851682103
Update 12000 | last delta: 36.22437224398594
Update 12100 | last delta: 36.531086400150244
Update 12200 | last delta: 36.17126796851227
Update 12300 | last delta: 36.12521796386107
Update 12400 | last delta: 36.08732597186556
Update 12500 | last delta: 36.05791393907321
Update 12600 | last delta: 36.02406595969477
Update 12700 | last delta: 35.98180303721111
Update 12800 | last delta: 35.95857933913535
Update 12900 | last delta: 35.91908572224138
Update 13000 | last delta: 36.24487446759305
Update 13100 | last delta: 35.86297196453862
Update 13200 | last delta: 35.836003734076286
Update 13300 | last delta: 36.167414124311016
Update 13400 | last delta: 35.770279991420765
Update 13500 | last delta: 37.20721831085113
Update 13600 | last delta: 38.55155723270374
Update 13700 | last delta: 40.84754764298893
Update 13800 | last delta: 37.854492127095455
Update 13900 | last delta: 36.54746228458735
Update 14000 | last delta: 35.73595426565228
Update 14100 | last delta: 35.710020477075815
Update 14200 | last delta: 35.6929620955832
Update 14300 | last delta: 36.05058473420489
Update 14400 | last delta: 35.63844565601241
Update 14500 | last delta: 35.61262658808853
Update 14600 | last delta: 38.648161102328935
Update 14700 | last delta: 35.57793784755904
Update 14800 | last delta: 35.55790455158782
Update 14900 | last delta: 35.533570296711495
Update 15000 | last delta: 35.879726375101384
Update 15100 | last delta: 35.49679066531539
Update 15200 | last delta: 35.864515153655155
Update 15300 | last delta: 35.42473686808476
Update 15400 | last delta: 35.4020280136665
Update 15500 | last delta: 35.377229303871225
Update 15600 | last delta: 35.347463582805965
Update 15700 | last delta: 35.32479492083375
Update 15800 | last delta: 35.43323256418138
Update 15900 | last delta: 37.78976512364972
Update 16000 | last delta: 40.453363149732446
Update 16100 | last delta: 36.8190268347592
Update 16200 | last delta: 35.266650492460656
Update 16300 | last delta: 35.246867185478536
Update 16400 | last delta: 35.22271629958132
Update 16500 | last delta: 35.206941693022834
Update 16600 | last delta: 35.17126796851227
Update 16700 | last delta: 37.72427343193954
Update 16800 | last delta: 35.13032694907321
Update 16900 | last delta: 35.105317336886145
Update 17000 | last delta: 35.08548996059846
Update 17100 | last delta: 35.68296438777658
Update 17200 | last delta: 35.04659059811733
Update 17300 | last delta: 35.0406624425036
Update 17400 | last delta: 35.02899023173894
Update 17500 | last delta: 35.024601090411174
Update 17600 | last delta: 37.73712855736163
Update 17700 | last delta: 34.98577962570335
Update 17800 | last delta: 34.96878510347632
Update 17900 | last delta: 35.407322770659256
Update 18000 | last delta: 34.927585222641035
Update 18100 | last delta: 34.89872146639083
Update 18200 | last delta: 34.8722687101134
Update 18300 | last delta: 34.84680583990547
Update 18400 | last delta: 34.82658251972575
Update 18500 | last delta: 34.81927621209008
Update 18600 | last delta: 35.931050872809465
Update 18700 | last delta: 34.80690383958048
Update 18800 | last delta: 34.78156803930489
Update 18900 | last delta: 34.764905057319794
Update 19000 | last delta: 35.1420187421701
Update 19100 | last delta: 34.88608359983317
Update 19200 | last delta: 34.716794861669904
Update 19300 | last delta: 34.69722525591493
Update 19400 | last delta: 1.6550365439175039
Update 19500 | last delta: 34.65403700876254
Update 19600 | last delta: 35.11385779178732
Update 19700 | last delta: 37.52873271001581
Update 19800 | last delta: 35.0895120808994
Update 19900 | last delta: 34.57968766513893
Update 20000 | last delta: 34.55600535917676
Update 20100 | last delta: 34.52885401055842
Update 20200 | last delta: 34.51792550070542
Update 20300 | last delta: 34.4974579032252
Update 20400 | last delta: 34.471677751179705
Update 20500 | last delta: 34.45323877514066
Update 20600 | last delta: 34.425179878390516
Update 20700 | last delta: 35.2864429551823
Update 20800 | last delta: 34.40701631610489
Update 20900 | last delta: 34.38619932586819
Update 21000 | last delta: 34.83543466211151
Update 21100 | last delta: 34.35545014088197
Update 21200 | last delta: 34.32583532542594
Update 21300 | last delta: 34.827600005464184
Update 21400 | last delta: 34.28724854909129
Update 21500 | last delta: 34.26778148901711
Update 21600 | last delta: 34.24254519490975
Update 21700 | last delta: 34.22271629958132
Update 21800 | last delta: 34.203966996346104
Update 21900 | last delta: 34.18202373179297
Update 22000 | last delta: 34.163300610127834
Update 22100 | last delta: 34.14548070972609
Update 22200 | last delta: 34.13110419228756
Update 22300 | last delta: 34.109700384557314
Update 22400 | last delta: 34.08825743669204
Update 22500 | last delta: 34.07741311127336
Update 22600 | last delta: 34.05139647976602
Update 22700 | last delta: 34.03425978535941
Update 22800 | last delta: 34.01507243848874
Update 22900 | last delta: 33.998055570141005
Update 23000 | last delta: 36.80601746408653
Update 23100 | last delta: 33.96531060797612
Update 23200 | last delta: 33.951273840527875
Update 23300 | last delta: 33.927585222641035
Update 23400 | last delta: 33.90207567146813
Update 23500 | last delta: 33.88892548477123
Update 23600 | last delta: 33.87002440155549
Update 23700 | last delta: 33.84744445051576
Update 23800 | last delta: 33.82658251972575
Update 23900 | last delta: 33.8064382998106
Update 24000 | last delta: 33.788151355622446
Update 24100 | last delta: 33.77073494932588
Update 24200 | last delta: 33.747917887705746
Update 24300 | last delta: 33.72772146639084
Update 24400 | last delta: 33.707217529371846
Update 24500 | last delta: 33.68133461081382
Update 24600 | last delta: 33.6627162943124
Update 24700 | last delta: 33.64344951416365
Update 24800 | last delta: 33.62306006553597
Update 24900 | last delta: 33.602011598783854
Update 25000 | last delta: 33.58070122062854
Update 25100 | last delta: 33.56939070562862
Update 25200 | last delta: 33.55247201260859
Update 25300 | last delta: 33.53613534037449
Update 25400 | last delta: 33.51679764931423
Update 25500 | last delta: 33.49637685483542
Update 25600 | last delta: 33.48432001242398
Update 25700 | last delta: 33.46268868160978
Update 25800 | last delta: 33.44948293239675
Update 25900 | last delta: 33.43254519490975
Update 26000 | last delta: 33.41358085628805
Update 26100 | last delta: 33.400540507177546
Update 26200 | last delta: 33.38434330996227
Update 26300 | last delta: 33.36639059811732
Update 26400 | last delta: 33.34804870506908
Update 26500 | last delta: 33.33368204397831
Update 26600 | last delta: 33.313769977097664
Update 26700 | last delta: 33.295745117266584
Update 26800 | last delta: 33.27931096062909
Update 26900 | last delta: 33.26575587799316
Update 27000 | last delta: 33.2494966929861
Update 27100 | last delta: 35.428037535206705
Update 27200 | last delta: 33.23057975650571
Update 27300 | last delta: 33.84491436489836
Update 27400 | last delta: 33.20001049288644
Update 27500 | last delta: 31.232003374679003
