Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.424768353 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 1730.0
Update 200 | last delta: 1550.0
Update 300 | last delta: 2207.0
Update 400 | last delta: 1450.0
Update 500 | last delta: 2257.0
Update 600 | last delta: 2205.0
Update 700 | last delta: 1359.0
Update 800 | last delta: 1330.0
Update 900 | last delta: 1310.0
Update 1000 | last delta: 2097.35
Update 1100 | last delta: 2304.3900000000003
Update 1200 | last delta: 2407.1000000000004
Update 1300 | last delta: 1215.0
Update 1400 | last delta: 1206.9
Update 1500 | last delta: 2472.7
Update 1600 | last delta: 1170.0
Update 1700 | last delta: 1158.3000000000002
Update 1800 | last delta: 1142.1
Update 1900 | last delta: 1125.9
Update 2000 | last delta: 1109.7000000000003
Update 2100 | last delta: 1089.0
Update 2200 | last delta: 1028.7000000000003
Update 2300 | last delta: 1057.0499999999997
Update 2400 | last delta: 1160.3649999999998
Update 2500 | last delta: 1027.8899999999999
Update 2600 | last delta: 1010.0
Update 2700 | last delta: 2351.4112300000006
Update 2800 | last delta: 4017.8057916374605
Update 2900 | last delta: 5830.337548378255
Update 3000 | last delta: 6439.84712335267
Update 3100 | last delta: 8335.235345337967
Update 3200 | last delta: 7797.03942552036
Update 3300 | last delta: 6583.740327868519
Update 3400 | last delta: 5509.422151410499
Update 3500 | last delta: 4646.761603744254
Update 3600 | last delta: 4268.082965539375
Update 3700 | last delta: 3900.8111989854383
Update 3800 | last delta: 3454.415854507904
Update 3900 | last delta: 3271.869454502373
Update 4000 | last delta: 2958.893604738153
Update 4100 | last delta: 2472.8398218570037
Update 4200 | last delta: 2181.962937829341
Update 4300 | last delta: 234.36891111507794
Update 4400 | last delta: 1682.3592155373663
Update 4500 | last delta: 1533.3906466843991
Update 4600 | last delta: 1263.4202716697118
Update 4700 | last delta: 1399.8899355187637
Update 4800 | last delta: 996.3000000000002
Update 4900 | last delta: 980.0999999999999
Update 5000 | last delta: 963.9000000000001
Update 5100 | last delta: 951.3449999999993
Update 5200 | last delta: 940.4100000000003
Update 5300 | last delta: 1569.0500000000002
Update 5400 | last delta: 925.1010000000006
Update 5500 | last delta: 911.9789999999994
Update 5600 | last delta: 671.3000000000002
Update 5700 | last delta: 896.6700000000001
Update 5800 | last delta: 885.6984019371166
Update 5900 | last delta: 872.6129999999994
Update 6000 | last delta: 866.6999999999998
Update 6100 | last delta: 921.4407000000006
Update 6200 | last delta: 1218.4631
Update 6300 | last delta: 1036.9450000000002
Update 6400 | last delta: 832.590900000001
Update 6500 | last delta: 820.7810999999992
Update 6600 | last delta: 94.02787464455832
Update 6700 | last delta: 808.9713000000002
Update 6800 | last delta: 2678.8231000000005
Update 6900 | last delta: 793.8809999999994
Update 7000 | last delta: 785.3516999999993
Update 7100 | last delta: 773.5419000000002
Update 7200 | last delta: 767.6369999999988
Update 7300 | last delta: 754.5150000000003
Update 7400 | last delta: 749.9223000000002
Update 7500 | last delta: 2779.1256000000003
Update 7600 | last delta: 1276.721550000002
Update 7700 | last delta: 728.0741699999999
Update 7800 | last delta: 685.5588900000002
Update 7900 | last delta: 714.4929000000002
Update 8000 | last delta: 706.8165299999991
Update 8100 | last delta: 702.027
Update 8200 | last delta: 690.8732999999993
Update 8300 | last delta: 346.1964430000007
Update 8400 | last delta: 674.9300700000013
Update 8500 | last delta: 667.2537000000011
Update 8600 | last delta: 684.0975950000015
Update 8700 | last delta: 655.4438999999993
Update 8800 | last delta: 653.6724299999987
Update 8900 | last delta: 643.6341000000002
Update 9000 | last delta: 190.3856748123717
Update 9100 | last delta: 632.4147900000016
Update 9200 | last delta: 626.5689389999998
Update 9300 | last delta: 839.9798689999998
Update 9400 | last delta: 611.1571500000009
Update 9500 | last delta: 607.4370630000012
Update 9600 | last delta: 597.8711249999997
Update 9700 | last delta: 837.0860890000013
Update 9800 | last delta: 588.305186999999
Update 9900 | last delta: 540.4754970000013
Update 10000 | last delta: 572.5213892999991
Update 10100 | last delta: 569.1733110000023
Update 10200 | last delta: 563.912045099999
Update 10300 | last delta: 558.0130500000005
Update 10400 | last delta: 550.041435000001
Update 10500 | last delta: 597.2809473000007
Update 10600 | last delta: 538.0840124999995
Update 10700 | last delta: 669.5734801000008
Update 10800 | last delta: 981.895706010001
Update 10900 | last delta: 520.8653240999993
Update 11000 | last delta: 515.2692503699982
Update 11100 | last delta: 589.5836241299985
Update 11200 | last delta: 507.52084058999935
Update 11300 | last delta: 502.2117450000005
Update 11400 | last delta: 499.7724308099996
Update 11500 | last delta: 492.0240210300017
Update 11600 | last delta: 486.4279473000006
