Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 2830 | Exploration time: 1.69909295 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 1730.0
Update 200 | last delta: 2925.0
Update 300 | last delta: 1490.0
Update 400 | last delta: 2655.0
Update 500 | last delta: 1430.0
Update 600 | last delta: 1390.0
Update 700 | last delta: 1359.0
Update 800 | last delta: 2187.0
Update 900 | last delta: 2165.0
Update 1000 | last delta: 1290.0
Update 1100 | last delta: 2065.35
Update 1200 | last delta: 2377.6900000000005
Update 1300 | last delta: 1215.0
Update 1400 | last delta: 1206.9
Update 1500 | last delta: 2556.73
Update 1600 | last delta: 2562.5
Update 1700 | last delta: 1158.3000000000002
Update 1800 | last delta: 1500.63
Update 1900 | last delta: 1125.9
Update 2000 | last delta: 1196.4700000000003
Update 2100 | last delta: 1089.0
Update 2200 | last delta: 2069.0
Update 2300 | last delta: 1057.0499999999997
Update 2400 | last delta: 998.73
Update 2500 | last delta: 759.1989999999996
Update 2600 | last delta: 2759.3
Update 2700 | last delta: 2796.023
Update 2800 | last delta: 4982.573626061972
Update 2900 | last delta: 5668.084637110198
Update 3000 | last delta: 8284.964961574105
Update 3100 | last delta: 7970.418958217571
Update 3200 | last delta: 7402.071742788817
Update 3300 | last delta: 6429.861639294987
Update 3400 | last delta: 5493.8457803266065
Update 3500 | last delta: 4671.121878486549
Update 3600 | last delta: 4063.9273742939477
Update 3700 | last delta: 3865.7967521842265
Update 3800 | last delta: 3305.707499284071
Update 3900 | last delta: 3585.2549591270267
Update 4000 | last delta: 2846.3162634557757
Update 4100 | last delta: 2496.8803244639075
Update 4200 | last delta: 2861.439469844082
Update 4300 | last delta: 547.1463257873411
Update 4400 | last delta: 1422.5078672773825
Update 4500 | last delta: 1141.6006546402032
Update 4600 | last delta: 998.73
Update 4700 | last delta: 980.0999999999999
Update 4800 | last delta: 967.3425962782858
Update 4900 | last delta: 951.3449999999993
Update 5000 | last delta: 940.4100000000003
Update 5100 | last delta: 938.223
Update 5200 | last delta: 925.1010000000006
Update 5300 | last delta: 911.9789999999998
Update 5400 | last delta: 911.9789999999998
Update 5500 | last delta: 993.8890000000001
Update 5600 | last delta: 885.7350000000006
Update 5700 | last delta: 872.6129999999998
Update 5800 | last delta: 985.7640999999999
Update 5900 | last delta: 595.8301000000001
Update 6000 | last delta: 1468.4431
Update 6100 | last delta: 838.3500000000004
Update 6200 | last delta: 832.590900000001
Update 6300 | last delta: 1415.547
Update 6400 | last delta: 5.834435796667094
Update 6500 | last delta: 808.9713000000002
Update 6600 | last delta: 801.9000000000001
Update 6700 | last delta: 794.6099999999997
Update 6800 | last delta: 785.3516999999993
Update 6900 | last delta: 773.5419000000002
Update 7000 | last delta: 767.6369999999988
Update 7100 | last delta: 754.5150000000003
Update 7200 | last delta: 749.9223000000002
Update 7300 | last delta: 738.7029899999989
Update 7400 | last delta: 738.1125000000011
Update 7500 | last delta: 728.0741699999999
Update 7600 | last delta: 34.30605430124706
Update 7700 | last delta: 714.4929000000002
Update 7800 | last delta: 706.8165299999991
Update 7900 | last delta: 1459.8795026570235
Update 8000 | last delta: 690.8732999999984
Update 8100 | last delta: 685.5588900000002
Update 8200 | last delta: 674.9300700000013
Update 8300 | last delta: 667.2537000000011
Update 8400 | last delta: 664.3012500000004
Update 8500 | last delta: 655.2667529999999
Update 8600 | last delta: 227.35888999999952
Update 8700 | last delta: 636.1348769999995
Update 8800 | last delta: 636.1348769999995
Update 8900 | last delta: 631.8243000000002
Update 9000 | last delta: 625.1672368315901
Update 9100 | last delta: 617.003001
Update 9200 | last delta: 34.307090000000244
Update 9300 | last delta: 600.528330000001
Update 9400 | last delta: 597.8711249999997
Update 9500 | last delta: 589.7400776999966
Update 9600 | last delta: 581.130733500002
Update 9700 | last delta: 847.9298910999987
Update 9800 | last delta: 572.5213892999991
Update 9900 | last delta: 1131.4378890000007
Update 10000 | last delta: 280.6750628389873
Update 10100 | last delta: 555.3027009000007
Update 10200 | last delta: 549.1557000000003
Update 10300 | last delta: 540.4754970000013
Update 10400 | last delta: 538.0840124999995
Update 10500 | last delta: 484.2756112499992
Update 10600 | last delta: 523.0176601500025
Update 10700 | last delta: 520.8653240999993
Update 10800 | last delta: 512.2559799000019
Update 10900 | last delta: 553.9181435999999
Update 11000 | last delta: 503.6466356999981
Update 11100 | last delta: 499.7724308100005
Update 11200 | last delta: 495.03729150000163
Update 11300 | last delta: 451.9905705000001
Update 11400 | last delta: 484.2756112499992
Update 11500 | last delta: 460.5999147000002
Update 11600 | last delta: 469.20925890000035
Update 11700 | last delta: 430.03674278999915
Update 11800 | last delta: 461.0303819100018
Update 11900 | last delta: 456.7687565310007
