Selected algorithm = VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.427372137 seconds
Start learning
Iteration: 1 | delta: 5688.265489195201
Iteration: 2 | delta: 4473.628321328
Iteration: 3 | delta: 3493.2513236148015
Iteration: 4 | delta: 3143.926191253321
Iteration: 5 | delta: 2568.9067863196606
Iteration: 6 | delta: 2296.027652620107
Iteration: 7 | delta: 1993.7264000218456
Iteration: 8 | delta: 1781.1912016033875
Iteration: 9 | delta: 1603.0720814430488
Iteration: 10 | delta: 1442.7648732987436
Iteration: 11 | delta: 955.8717066872505
Iteration: 12 | delta: 426.8545522702407
Iteration: 13 | delta: 274.22347525034365
Iteration: 14 | delta: 222.12101495277557
Iteration: 15 | delta: 199.90891345749787
Iteration: 16 | delta: 131.1602381194666
Iteration: 17 | delta: 106.23979287676866
Iteration: 18 | delta: 95.61581358909166
Iteration: 19 | delta: 77.44880900716441
Iteration: 20 | delta: 69.70392810644796
Iteration: 21 | delta: 62.73353529580311
Iteration: 22 | delta: 41.15947250757654
Iteration: 23 | delta: 27.004729912220682
Iteration: 24 | delta: 17.71780329540752
Iteration: 25 | delta: 12.916278602351554
Iteration: 26 | delta: 8.474370391004072
Iteration: 27 | delta: 5.560034413537778
Iteration: 28 | delta: 4.139736245506356
Iteration: 29 | delta: 3.72576262095572
Iteration: 30 | delta: 3.353186358860512
Iteration: 31 | delta: 3.0178677229732784
Iteration: 32 | delta: 2.716080950676769
Iteration: 33 | delta: 2.444472855609092
Iteration: 34 | delta: 2.2000255700459093
Iteration: 35 | delta: 1.9800230130422278
Iteration: 36 | delta: 1.7820207117374594
Iteration: 37 | delta: 1.6038186405639863
Iteration: 38 | delta: 1.4434367765079514
Iteration: 39 | delta: 1.2990930988580658
Iteration: 40 | delta: 1.1691837889720773
Iteration: 41 | delta: 1.0522654100750515
Iteration: 42 | delta: 0.9470388690679101
Iteration: 43 | delta: 0.8523349821625743
Iteration: 44 | delta: 0.7671014839470445
Iteration: 45 | delta: 0.6903913355527038
Iteration: 46 | delta: 0.6213522019952507
Iteration: 47 | delta: 0.5592169817973627
Iteration: 48 | delta: 0.5032952836172626
Iteration: 49 | delta: 0.45296575525571825
Iteration: 50 | delta: 0.40766917972905503
Iteration: 51 | delta: 0.3669022617577866
Iteration: 52 | delta: 0.33021203558200796
Iteration: 53 | delta: 0.29719083202235197
Iteration: 54 | delta: 0.2674717488207534
Iteration: 55 | delta: 0.24072457393958757
Iteration: 56 | delta: 0.21665211654544692
Iteration: 57 | delta: 0.19498690489126602
Iteration: 58 | delta: 0.1754882144032308
Iteration: 59 | delta: 0.15793939296236204
Iteration: 60 | delta: 0.14214545366667153
Iteration: 61 | delta: 0.12793090830018627
Iteration: 62 | delta: 0.11513781746907625
Iteration: 63 | delta: 0.10362403572162293
Iteration: 64 | delta: 0.09326163214973349
Iteration: 65 | delta: 0.08393546893603343
Iteration: 66 | delta: 0.07554192204406718
Iteration: 67 | delta: 0.06798772983893286
Iteration: 68 | delta: 0.061188956855403376
Iteration: 69 | delta: 0.05507006116931734
Iteration: 70 | delta: 0.0495630550540227
Iteration: 71 | delta: 0.04460674954862043
Iteration: 72 | delta: 0.04014607459339459
Iteration: 73 | delta: 0.03613146713541937
Iteration: 74 | delta: 0.03251832042224123
Iteration: 75 | delta: 0.02926648838001711
Iteration: 76 | delta: 0.02633983954001451
Iteration: 77 | delta: 0.023705855586740654
Iteration: 78 | delta: 0.021335270026611397
Iteration: 79 | delta: 0.01920174302540545
Iteration: 80 | delta: 0.0172815687237744
Iteration: 81 | delta: 0.01555341184939607
Iteration: 82 | delta: 0.013998070666275453
Iteration: 83 | delta: 0.012598263601830695
Iteration: 84 | delta: 0.011338437241647625
Iteration: 85 | delta: 0.01020459351457248
Iteration: 86 | delta: 0.009184134163660929
Execution time: 429.632185757 seconds
Nb states discovered (env): 2830
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
