Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Frozen_lake
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 45

End of exploration 44 | Exploration time: 0.023216688 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 3439.0
Iteration: 3 | delta: 3095.1
Iteration: 4 | delta: 4224.89511
Iteration: 5 | delta: 3802.4055990000006
Iteration: 6 | delta: 3802.4055990000006
Iteration: 7 | delta: 3421.355039100001
Iteration: 8 | delta: 4224.89511
Iteration: 9 | delta: 3422.1650391000007
Iteration: 10 | delta: 1815.2935690535105
Iteration: 11 | delta: 3088.905554094308
Iteration: 12 | delta: 2502.0134988163895
Iteration: 13 | delta: 2251.812148934751
Iteration: 14 | delta: 2251.812148934751
Iteration: 15 | delta: 2026.6309340412754
Iteration: 16 | delta: 2026.6309340412754
Iteration: 17 | delta: 781.4243580014081
Iteration: 18 | delta: 670.2783085629626
Iteration: 19 | delta: 706.6425127399198
Iteration: 20 | delta: 395.7926384233442
Iteration: 21 | delta: 254.18658283290006
Iteration: 22 | delta: 706.6425127399198
Iteration: 23 | delta: 635.9782614659271
Iteration: 24 | delta: 722.0617792826461
Iteration: 25 | delta: 649.8556013543821
Iteration: 26 | delta: 623.1770215905017
Iteration: 27 | delta: 649.8556013543821
Iteration: 28 | delta: 135.08517176729947
Iteration: 29 | delta: 121.57665459056807
Iteration: 30 | delta: 109.41898913151272
Iteration: 31 | delta: 145.7831933084708
Iteration: 32 | delta: 88.62938119652608
Iteration: 33 | delta: 88.62938119652608
Iteration: 34 | delta: 67.25465970385358
Iteration: 35 | delta: 62.46098285539574
Iteration: 36 | delta: 60.529193733467764
Iteration: 37 | delta: 60.529193733467764
Iteration: 38 | delta: 50.59339611287032
Iteration: 39 | delta: 53.46571654564923
Iteration: 40 | delta: 45.53405650158311
Iteration: 41 | delta: 25.03155504993265
Iteration: 42 | delta: 27.812838944370014
Iteration: 43 | delta: 18.248003631400934
Iteration: 44 | delta: 22.52839954493902
Iteration: 45 | delta: 20.275559590445482
Iteration: 46 | delta: 18.248003631400934
Iteration: 47 | delta: 11.628606790603953
Iteration: 48 | delta: 13.84713802506667
Iteration: 49 | delta: 7.855167211278967
Iteration: 50 | delta: 16.423203268261204
Iteration: 51 | delta: 14.780882941433447
Iteration: 52 | delta: 14.259434522474294
Iteration: 53 | delta: 12.833491070226955
Iteration: 54 | delta: 14.039180929615213
Iteration: 55 | delta: 14.039180929615213
Iteration: 56 | delta: 12.635262836653965
Iteration: 57 | delta: 21.73362981629907
Iteration: 58 | delta: 6.820243327851131
Iteration: 59 | delta: 6.83441760419737
Iteration: 60 | delta: 8.477254350351359
Iteration: 61 | delta: 5.535878259400306
Iteration: 62 | delta: 4.982290433460548
Iteration: 63 | delta: 5.265148191853768
Iteration: 64 | delta: 5.561926579264764
Iteration: 65 | delta: 2.875626018509138
Iteration: 66 | delta: 5.439066340911268
Iteration: 67 | delta: 3.381391913522748
Iteration: 68 | delta: 2.2185312344627164
Iteration: 69 | delta: 1.5151398450689157
Iteration: 70 | delta: 1.8866982307445141
Iteration: 71 | delta: 2.7389274499528256
Iteration: 72 | delta: 1.7453914952493506
Iteration: 73 | delta: 2.465034704957361
Iteration: 74 | delta: 2.2185312344627164
Iteration: 75 | delta: 1.4555783429314033
Iteration: 76 | delta: 1.996678111016081
Iteration: 77 | delta: 1.617309269922771
Iteration: 78 | delta: 1.4555783429314033
Iteration: 79 | delta: 1.1790184577730543
Iteration: 80 | delta: 0.9550049507961376
Iteration: 81 | delta: 0.7735540101457445
Iteration: 82 | delta: 0.5639208733955456
Iteration: 83 | delta: 1.0611166119961126
Iteration: 84 | delta: 0.8595044557168876
Iteration: 85 | delta: 0.4567759074507194
Iteration: 86 | delta: 0.7735540101457445
Iteration: 87 | delta: 0.6961986091318977
Iteration: 88 | delta: 0.5639208733955456
Iteration: 89 | delta: 0.5639208733955456
Iteration: 90 | delta: 0.4567759074507194
Iteration: 91 | delta: 0.4567759074507194
Iteration: 92 | delta: 0.36998848503571935
Iteration: 93 | delta: 0.2996906728785689
Iteration: 94 | delta: 0.15127587614551885
Iteration: 95 | delta: 0.2697216055912577
Iteration: 96 | delta: 0.28933665844215284
Iteration: 97 | delta: 0.2996906728785689
Iteration: 98 | delta: 0.2697216055912577
Iteration: 99 | delta: 0.24274944503122242
Iteration: 100 | delta: 0.1966270504763088
Reached maximum number of iterations.
Execution time (Incremental VI): 7.032571038 seconds
Nb states discovered (env): 44
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
