Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lakeembedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 45

End of exploration 44 | Exploration time: 0.019637313 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 1000.0
Iteration: 3 | delta: 1972.8800000000003
Iteration: 4 | delta: 2504.321
Iteration: 5 | delta: 1975.5900000000001
Iteration: 6 | delta: 3795.3279
Iteration: 7 | delta: 2488.13904519
Iteration: 8 | delta: 1166.5661390999999
Iteration: 9 | delta: 1049.9095251899998
Iteration: 10 | delta: 2014.0075266039003
Iteration: 11 | delta: 1507.1828154039
Iteration: 12 | delta: 1819.0662310333432
Iteration: 13 | delta: 1637.1596079300093
Iteration: 14 | delta: 1047.9492509798333
Iteration: 15 | delta: 1637.1596079300093
Iteration: 16 | delta: 708.0596032734993
Iteration: 17 | delta: 637.2536429461497
Iteration: 18 | delta: 1569.7812578042485
Iteration: 19 | delta: 870.0537391979324
Iteration: 20 | delta: 854.8381640473235
Iteration: 21 | delta: 769.3543476425912
Iteration: 22 | delta: 338.6627132609419
Iteration: 23 | delta: 304.79644193485
Iteration: 24 | delta: 326.6515610441011
Iteration: 25 | delta: 264.5877644457223
Iteration: 26 | delta: 238.12898800115
Iteration: 27 | delta: 336.37756321490815
Iteration: 28 | delta: 272.4658262040757
Iteration: 29 | delta: 272.4658262040757
Iteration: 30 | delta: 173.596032252839
Iteration: 31 | delta: 106.27594792187483
Iteration: 32 | delta: 140.61278612480055
Iteration: 33 | delta: 160.88834571524603
Iteration: 34 | delta: 161.22271441198154
Iteration: 35 | delta: 102.50672108497884
Iteration: 36 | delta: 62.75488448838769
Iteration: 37 | delta: 95.00295926139552
Iteration: 38 | delta: 64.61081889226625
Iteration: 39 | delta: 76.95239700172988
Iteration: 40 | delta: 62.75488448838678
Iteration: 41 | delta: 50.83145643559419
Iteration: 42 | delta: 42.391158275217094
Iteration: 43 | delta: 54.47627436012044
Iteration: 44 | delta: 49.028646924108216
Iteration: 45 | delta: 62.46098285539483
Iteration: 46 | delta: 56.2148845698548
Iteration: 47 | delta: 56.2148845698548
Iteration: 48 | delta: 27.812838944370014
Iteration: 49 | delta: 23.450249834995702
Iteration: 50 | delta: 69.58809847921657
Iteration: 51 | delta: 22.52839954493902
Iteration: 52 | delta: 20.275559590445482
Iteration: 53 | delta: 15.385708916740441
Iteration: 54 | delta: 19.158752828308934
Iteration: 55 | delta: 9.419171500388984
Iteration: 56 | delta: 8.47725435035045
Iteration: 57 | delta: 16.423203268261204
Iteration: 58 | delta: 9.792172893907264
Iteration: 59 | delta: 13.302794647290284
Iteration: 60 | delta: 7.358936879179964
Iteration: 61 | delta: 6.424644635693767
Iteration: 62 | delta: 10.775263664305385
Iteration: 63 | delta: 6.820243327853859
Iteration: 64 | delta: 9.697737297874482
Iteration: 65 | delta: 10.533883965269524
Iteration: 66 | delta: 9.480495568742299
Iteration: 67 | delta: 7.679201410681344
Iteration: 68 | delta: 7.679201410681344
Iteration: 69 | delta: 6.911281269613028
Iteration: 70 | delta: 5.726416897021409
Iteration: 71 | delta: 5.153775207319995
Iteration: 72 | delta: 4.971957386003851
Iteration: 73 | delta: 4.174557917929633
Iteration: 74 | delta: 3.757102126135578
Iteration: 75 | delta: 3.6320897259920457
Iteration: 76 | delta: 2.7389274499528256
Iteration: 77 | delta: 2.2185312344627164
Iteration: 78 | delta: 1.9262381617745632
Iteration: 79 | delta: 1.560252911036514
Iteration: 80 | delta: 1.560252911036514
Iteration: 81 | delta: 1.996678111016081
Iteration: 82 | delta: 1.4555783429314033
Iteration: 83 | delta: 1.3100205086375354
Iteration: 84 | delta: 0.7246866909636083
Iteration: 85 | delta: 0.7246866909636083
Iteration: 86 | delta: 0.7462641305646684
Iteration: 87 | delta: 1.1790184577730543
Iteration: 88 | delta: 0.9550049507961376
Iteration: 89 | delta: 0.8595044557168876
Iteration: 90 | delta: 0.39928958989366947
Iteration: 91 | delta: 0.7735540101457445
Iteration: 92 | delta: 0.6961986091318977
Iteration: 93 | delta: 0.2619738999292167
Iteration: 94 | delta: 0.28075847218406125
Iteration: 95 | delta: 0.25268262496592797
Iteration: 96 | delta: 0.22741436247088131
Iteration: 97 | delta: 0.4906414645101904
Iteration: 98 | delta: 0.5639208733955456
Iteration: 99 | delta: 0.21076703248945705
Iteration: 100 | delta: 0.41109831670655694
Reached maximum number of iterations.
Execution time (Incremental VI): 0.088839779 seconds
Nb states discovered (env): 44
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
