Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lakeembedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 43 | Exploration time: 0.037619703 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 1000.0
Iteration: 3 | delta: 1975.5900000000001
Iteration: 4 | delta: 2507.0310000000004
Iteration: 5 | delta: 2507.0310000000004
Iteration: 6 | delta: 3074.2155990000006
Iteration: 7 | delta: 2766.7940391000006
Iteration: 8 | delta: 2241.103171671001
Iteration: 9 | delta: 2241.103171671001
Iteration: 10 | delta: 3422.8940391000006
Iteration: 11 | delta: 478.2969000000003
Iteration: 12 | delta: 590.4900000000002
Iteration: 13 | delta: 662.4890361900007
Iteration: 14 | delta: 765.3840438635098
Iteration: 15 | delta: 1563.3890361900003
Iteration: 16 | delta: 688.8456394771588
Iteration: 17 | delta: 619.9610755294443
Iteration: 18 | delta: 619.9610755294443
Iteration: 19 | delta: 619.9610755294425
Iteration: 20 | delta: 502.16847117885027
Iteration: 21 | delta: 936.8275278231085
Iteration: 22 | delta: 1071.9126995904076
Iteration: 23 | delta: 406.7564616548689
Iteration: 24 | delta: 366.0808154893821
Iteration: 25 | delta: 366.08081548938026
Iteration: 26 | delta: 632.9537299811382
Iteration: 27 | delta: 266.8729144917579
Iteration: 28 | delta: 692.4189128783319
Iteration: 29 | delta: 266.8729144917579
Iteration: 30 | delta: 216.16706073832484
Iteration: 31 | delta: 194.55035466449135
Iteration: 32 | delta: 542.9254299359991
Iteration: 33 | delta: 373.7528480165647
Iteration: 34 | delta: 336.37756321490815
Iteration: 35 | delta: 336.37756321490815
Iteration: 36 | delta: 272.4658262040757
Iteration: 37 | delta: 245.21924358366869
Iteration: 38 | delta: 65.23999258555887
Iteration: 39 | delta: 145.7831933084699
Iteration: 40 | delta: 178.7648285724954
Iteration: 41 | delta: 106.27594792187483
Iteration: 42 | delta: 130.3195600293484
Iteration: 43 | delta: 130.3195600293484
Iteration: 44 | delta: 105.55884362377219
Iteration: 45 | delta: 64.61081889226625
Iteration: 46 | delta: 69.72764943154198
Iteration: 47 | delta: 62.75488448838769
Iteration: 48 | delta: 95.20040063313172
Iteration: 49 | delta: 58.14973700304108
Iteration: 50 | delta: 52.334763302736974
Iteration: 51 | delta: 41.17347971283016
Iteration: 52 | delta: 47.10128697246182
Iteration: 53 | delta: 75.76377750268603
Iteration: 54 | delta: 68.18739975241715
Iteration: 55 | delta: 27.013920039586992
Iteration: 56 | delta: 34.33683820292572
Iteration: 57 | delta: 30.903154382633147
Iteration: 58 | delta: 25.03155504993265
Iteration: 59 | delta: 20.275559590445482
Iteration: 60 | delta: 18.248003631400934
Iteration: 61 | delta: 17.723832937973384
Iteration: 62 | delta: 14.356304679758068
Iteration: 63 | delta: 15.951449644175227
Iteration: 64 | delta: 14.356304679758068
Iteration: 65 | delta: 9.163572085646592
Iteration: 66 | delta: 15.84381613608275
Iteration: 67 | delta: 12.462424222560003
Iteration: 68 | delta: 11.550141963203714
Iteration: 69 | delta: 12.833491070226955
Iteration: 70 | delta: 10.09456362027413
Iteration: 71 | delta: 9.085107258246353
Iteration: 72 | delta: 5.005733921338106
Iteration: 73 | delta: 3.1951400205671234
Iteration: 74 | delta: 4.505160529203749
Iteration: 75 | delta: 3.649180028653973
Iteration: 76 | delta: 5.153775207319995
Iteration: 77 | delta: 3.757102126135578
Iteration: 78 | delta: 3.284262025789758
Iteration: 79 | delta: 3.284262025789758
Iteration: 80 | delta: 4.03565525110389
Iteration: 81 | delta: 3.965079362526012
Iteration: 82 | delta: 4.534491640995839
Iteration: 83 | delta: 4.299516977423082
Iteration: 84 | delta: 2.3413397127787903
Iteration: 85 | delta: 3.67293822920783
Iteration: 86 | delta: 2.9750799656585514
Iteration: 87 | delta: 1.1790184577730543
Iteration: 88 | delta: 0.9550049507961376
Iteration: 89 | delta: 0.9940832523498102
Iteration: 90 | delta: 3.627297987523889
Iteration: 91 | delta: 1.3383300269970277
Iteration: 92 | delta: 1.3383300269970277
Iteration: 93 | delta: 0.6961986091318977
Iteration: 94 | delta: 0.6265787482170708
Iteration: 95 | delta: 0.5075287860563549
Iteration: 96 | delta: 0.41109831670655694
Iteration: 97 | delta: 0.2996906728785689
Iteration: 98 | delta: 0.20644061320399487
Iteration: 99 | delta: 0.5639208733955456
Iteration: 100 | delta: 0.2526826249650185
Reached maximum number of iterations.
Execution time (Incremental VI): 0.054199439 seconds
Nb states discovered (env): 43
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
