Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Puzzle
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
..............................Model Checking complete. No error nodes found.Total states: 181442

End of exploration 181441 | Exploration time: 14.784374045 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 45.19110348808854
Update 200 | last delta: 43.66846701181422
Update 300 | last delta: 50.72199061012783
Update 400 | last delta: 46.87872591183696
Update 500 | last delta: 46.90477372958131
Update 600 | last delta: 44.72006672096087
Update 700 | last delta: 44.36725404397831
Update 800 | last delta: 46.525032543928695
Update 900 | last delta: 44.15274803930488
Update 1000 | last delta: 43.63519926570595
Update 1100 | last delta: 43.10695063349
Update 1200 | last delta: 43.06543481012784
Update 1300 | last delta: 42.81708004886479
Update 1400 | last delta: 42.66846701181422
Update 1500 | last delta: 45.14906834240327
Update 1600 | last delta: 42.25274803930488
Update 1700 | last delta: 42.80200383958048
Update 1800 | last delta: 41.89567750176479
Update 1900 | last delta: 41.69786672096087
Update 2000 | last delta: 41.46562863958048
Update 2100 | last delta: 41.25952835044575
Update 2200 | last delta: 41.06751207075625
Update 2300 | last delta: 40.891175624163644
Update 2400 | last delta: 40.746255570141
Update 2500 | last delta: 40.572294745931956
Update 2600 | last delta: 41.994748190649304
Update 2700 | last delta: 40.33238348542904
Update 2800 | last delta: 41.83572052610387
Update 2900 | last delta: 40.08356627359231
Update 3000 | last delta: 39.93881444281656
Update 3100 | last delta: 43.07183097466924
Update 3200 | last delta: 39.78555943120948
Update 3300 | last delta: 39.62074603442594
Update 3400 | last delta: 39.52053270562862
Update 3500 | last delta: 39.4963537394508
Update 3600 | last delta: 39.430746034425944
Update 3700 | last delta: 39.33973327825418
Update 3800 | last delta: 39.23878204397831
Update 3900 | last delta: 40.15965878905418
Update 4000 | last delta: 39.034323619133886
Update 4100 | last delta: 38.887214955385886
Update 4200 | last delta: 38.81938896170662
Update 4300 | last delta: 38.69308360695895
Update 4400 | last delta: 38.83381926158438
Update 4500 | last delta: 38.54049877642948
Update 4600 | last delta: 38.47808004886478
Update 4700 | last delta: 38.39671836550572
