Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Interlockingembedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.........................................................................................................................................................................................................................................................................Model Checking complete. No error nodes found.Total states: 100228

End of exploration 100227 | Exploration time: 132.90487392 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 50000.0
Iteration: 2 | delta: 50000.0
Iteration: 3 | delta: 50000.0
Iteration: 4 | delta: 50000.0
Iteration: 5 | delta: 50000.0
Iteration: 6 | delta: 50000.0
Iteration: 7 | delta: 50000.0
Iteration: 8 | delta: 50000.0
Iteration: 9 | delta: 50000.0
Iteration: 10 | delta: 50000.0
Iteration: 11 | delta: 50000.0
Iteration: 12 | delta: 50000.0
Iteration: 13 | delta: 50000.0
Iteration: 14 | delta: 50000.0
Iteration: 15 | delta: 50000.0
Iteration: 16 | delta: 50000.0
Iteration: 17 | delta: 50000.0
Iteration: 18 | delta: 50000.0
Iteration: 19 | delta: 50000.0
Iteration: 20 | delta: 50000.0
Iteration: 21 | delta: 50000.0
Iteration: 22 | delta: 50000.0
Iteration: 23 | delta: 50000.0
Iteration: 24 | delta: 50000.0
Iteration: 25 | delta: 50000.0
Iteration: 26 | delta: 50000.0
Iteration: 27 | delta: 50000.0
Iteration: 28 | delta: 50000.0
Iteration: 29 | delta: 50000.0
Iteration: 30 | delta: 50000.0
Iteration: 31 | delta: 50000.0
Iteration: 32 | delta: 50000.0
Iteration: 33 | delta: 50000.0
Iteration: 34 | delta: 50000.0
Iteration: 35 | delta: 50000.0
Iteration: 36 | delta: 50000.0
Iteration: 37 | delta: 50000.0
Iteration: 38 | delta: 50000.0
Iteration: 39 | delta: 50000.0
Iteration: 40 | delta: 50000.0
Iteration: 41 | delta: 10026.0
Iteration: 42 | delta: 50000.0
Iteration: 43 | delta: 50000.0
Iteration: 44 | delta: 50000.0
Iteration: 45 | delta: 50000.0
Iteration: 46 | delta: 50000.0
Iteration: 47 | delta: 50000.0
Iteration: 48 | delta: 50000.0
Iteration: 49 | delta: 50000.0
Iteration: 50 | delta: 50000.0
Iteration: 51 | delta: 50000.0
Iteration: 52 | delta: 50000.0
Iteration: 53 | delta: 45036.2
Iteration: 54 | delta: 50000.0
