algorithm,reward,exploration,states,t_explore_sec,t_learn_sec,iterations_or_updates
VALUE_ITERATION,ONTHEFLY,PREPROCESS,5478,2.783994583,393.13758725,5
VALUE_ITERATION,ONTHEFLY,RECURSIVE,5478,6.105944792,310.639913125,4
VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,5478,2.871023417,224.027813833,5
VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,5478,21.090394792,153.6633205,4
VALUE_ITERATION,EMBEDDED,PREPROCESS,5478,32.291658,81.759083334,5
VALUE_ITERATION,EMBEDDED,RECURSIVE,5478,36.011788958,60.483001792,4
POLICY_ITERATION,ONTHEFLY,PREPROCESS,5478,2.744913167,556.73215475,4
POLICY_ITERATION,ONTHEFLY,RECURSIVE,5478,5.9448515,544.397520209,4
POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,5478,2.806088667,46.577489708,4
POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,5478,20.203449917,37.6985455,4
POLICY_ITERATION,EMBEDDED,PREPROCESS,5478,32.580312042,15.26229525,4
POLICY_ITERATION,EMBEDDED,RECURSIVE,5478,38.446549542,15.2620545,4
MODIFIED_POLICY_ITERATION,ONTHEFLY,PREPROCESS,5478,2.914689958,495.425920458,4
MODIFIED_POLICY_ITERATION,ONTHEFLY,RECURSIVE,5478,5.986468708,490.623239708,4
MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,5478,2.708090791,44.866917792,4
MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,5478,19.654596208,37.239584292,4
MODIFIED_POLICY_ITERATION,EMBEDDED,PREPROCESS,5478,32.332996791,14.164683083,4
MODIFIED_POLICY_ITERATION,EMBEDDED,RECURSIVE,5478,35.45459225,14.047065167,4
INCREMENTAL_VALUE_ITERATION,ONTHEFLY,PREPROCESS,5478,2.712248083,431.430104417,67
INCREMENTAL_VALUE_ITERATION,ONTHEFLY,RECURSIVE,5478,5.695985584,457.83091425,71
INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,5478,2.717316917,58.455422584,76
INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,5478,19.590682833,58.310265875,73
INCREMENTAL_VALUE_ITERATION,EMBEDDED,PREPROCESS,5478,32.291370958,15.80837725,73
INCREMENTAL_VALUE_ITERATION,EMBEDDED,RECURSIVE,5478,35.353762375,15.827271417,66
BACKWARD_INDUCTION,ONTHEFLY,PREPROCESS,5478,2.728965041,624.059082,9
BACKWARD_INDUCTION,ONTHEFLY,RECURSIVE,5478,5.553590458,624.279113833,9
BACKWARD_INDUCTION,ONCEANDFORALL,PREPROCESS,5478,2.737270292,51.490563792,9
BACKWARD_INDUCTION,ONCEANDFORALL,RECURSIVE,5478,19.586236042,49.853729084,9
BACKWARD_INDUCTION,EMBEDDED,PREPROCESS,5478,32.282281584,16.520549166,9
BACKWARD_INDUCTION,EMBEDDED,RECURSIVE,5478,37.453293125,18.169990042,9
PRIORITIZED_VALUE_ITERATION,ONTHEFLY,PREPROCESS,5478,2.855717709,647.498178208,4531
PRIORITIZED_VALUE_ITERATION,ONTHEFLY,RECURSIVE,5478,5.931438792,648.074261792,4530
PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,5478,2.751601417,52.13542475,4529
PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,5478,20.142203792,50.738694708,4530
PRIORITIZED_VALUE_ITERATION,EMBEDDED,PREPROCESS,5478,32.44833275,15.201119417,4531
PRIORITIZED_VALUE_ITERATION,EMBEDDED,RECURSIVE,5478,36.324658959,15.218397292,4530
